LAD11CD,LAD18CD,deaths_num,deathsinf_num,agestand_mortality
E07000223,E07000223,690,2,493.2
E07000026,E07000026,"1,145",3,599.5
E07000032,E07000032,"1,196",5,530.5
E07000224,E07000224,"1,997",6,501.1
E07000170,E07000170,"1,118",4,588.5
E07000105,E07000105,888,3,439.1
E07000004,E07000004,"1,284",8,483.8
E07000200,E07000200,808,3,424.2
E09000002,E09000002,"1,218",14,586.7
E09000003,E09000003,"2,305",19,437.8
E08000016,E08000016,"2,274",8,601.9
E07000027,E07000027,761,2,647.1
E07000066,E07000066,"1,407",7,501.4
E07000084,E07000084,"1,176",8,485.7
E07000171,E07000171,"1,119",5,558.4
E06000022,E06000022,"1,560",4,468.3
E06000055,E06000055,"1,269",19,507.5
E09000004,E09000004,"1,847",9,481.9
E08000025,E08000025,"7,985",143,579.2
E07000129,E07000129,730,1,440.6
E06000008,E06000008,"1,189",12,634.8
E06000009,E06000009,"1,818",7,728.6
E07000033,E07000033,778,1,578.6
E08000001,E08000001,"2,498",20,605.8
E07000136,E07000136,654,3,538.6
E06000028,E06000028,"1,908",8,534.3
E06000036,E06000036,701,4,470.6
E08000032,E08000032,"4,222",56,597.5
E07000067,E07000067,"1,224",7,484.6
E07000143,E07000143,"1,414",7,500.9
E09000005,E09000005,"1,471",31,458.0
E07000068,E07000068,679,3,440.6
E06000043,E06000043,"2,081",16,533.2
E06000023,E06000023,"3,290",20,556.2
E07000144,E07000144,"1,281",5,441.2
E09000006,E09000006,"2,530",8,453.5
E07000234,E07000234,927,1,461.4
E07000095,E07000095,687,1,460.8
E07000172,E07000172,"1,017",4,505.2
E07000117,E07000117,926,8,682.4
E08000002,E08000002,"1,693",14,592.9
E08000033,E08000033,"1,850",16,584.3
E07000008,E07000008,747,5,442.1
E09000007,E09000007,"1,103",19,461.0
E07000192,E07000192,780,7,534.4
E07000106,E07000106,"1,481",5,490.3
E07000028,E07000028,"1,062",5,547.1
E07000069,E07000069,905,4,489.9
E06000056,E06000056,"1,822",12,466.0
E07000130,E07000130,"1,360",6,501.1
E07000070,E07000070,"1,324",5,461.5
E07000078,E07000078,977,3,469.4
E07000177,E07000177,"1,025",7,470.6
E06000049,E06000049,"3,420",15,480.5
E06000050,E06000050,"3,155",17,528.4
E07000034,E07000034,"1,118",3,592.1
E07000225,E07000225,"1,366",5,473.1
E07000005,E07000005,724,3,404.9
E07000118,E07000118,967,4,562.5
E07000048,E07000048,636,0,414.9
E09000001,E09000001,30,1,15.8
E07000071,E07000071,"1,432",8,517.2
E07000029,E07000029,763,1,627.9
E07000150,E07000150,514,3,665.0
E06000052,E06000052,5640,33,500.8
E07000079,E07000079,800,2,422.9
E06000047,E06000047,"5,202",23,599.1
E08000026,E08000026,"2,630",27,577.2
E07000163,E07000163,590,0,448.1
E07000226,E07000226,732,7,493.8
E09000008,E09000008,"2,365",23,513.0
E07000096,E07000096,"1,125",5,461.1
E06000005,E06000005,985,6,541.7
E07000107,E07000107,858,4,578.4
E07000151,E07000151,648,1,494.8
E06000015,E06000015,"1,973",17,523.9
E07000035,E07000035,748,1,471.1
E08000017,E08000017,"2,872",21,583.5
E07000108,E07000108,"1,231",5,559.4
E08000027,E08000027,"2,933",13,538.4
E09000009,E09000009,"1,866",24,499.0
E07000009,E07000009,677,7,456.9
E07000040,E07000040,"1,730",4,434.3
E07000049,E07000049,"1,008",1,379.3
E07000085,E07000085,"1,047",3,447.1
E07000097,E07000242,951,4,434.5
E07000137,E07000137,"1,790",10,577.7
E07000152,E07000152,765,3,517.9
E06000011,E06000011,"3,571",12,515.1
E07000193,E07000193,998,10,543.4
E07000061,E07000061,"1,204",2,504.2
E07000086,E07000086,911,5,414.2
E07000030,E07000030,518,3,468.1
E07000207,E07000207,"1,055",7,442.0
E09000010,E09000010,"1,846",21,455.5
E07000072,E07000072,"1,139",4,485.8
E07000208,E07000208,572,1,413.6
E07000036,E07000036,974,3,491.6
E07000041,E07000041,962,8,503.8
E07000087,E07000087,"1,091",5,466.2
E07000010,E07000010,992,4,537.4
E07000112,E07000112,"1,159",4,523.5
E07000201,E07000201,455,5,465.2
E07000080,E07000080,823,4,512.6
E07000119,E07000119,965,4,554.1
E08000020,E08000037,"2,100",13,630.9
E07000173,E07000173,"1,016",4,485.6
E07000081,E07000081,"1,003",5,556.7
E07000088,E07000088,766,7,548.3
E07000109,E07000109,832,4,521.2
E07000145,E07000145,"1,120",6,590.2
