LAD11CD,LAD18CD,LAD18NM,Total Rural population 2011,Urban City and Town population 2011,Urban Minor Conurbation population 2011,Urban Major Conurbation population 2011,Total Urban population 2011,Total population 2011,Hub towns (rural related) population included in Urban population 2011,Rural including hub towns (rural & rural related) population 2011,Rural including hub towns (rural & rural related) population as % of Total population 2011,RUC11CD,RUC11,Broad RUC11
E06000001,E06000001,Hartlepool,3173,88855,0,0,88855,92028,0,3173,3.44,4,Urban with City and Town,Predominantly Urban
E06000002,E06000002,Middlesbrough,957,137455,0,0,137455,138412,0,957,0.69,4,Urban with City and Town,Predominantly Urban
E06000003,E06000003,Redcar and Cleveland,43880,91297,0,0,91297,135177,0,43880,32.46,3,Urban with Significant Rural (rural including hub towns 26-49%),Urban with Significant Rural
E06000004,E06000004,Stockton-on-Tees,7536,184074,0,0,184074,191610,0,7536,3.93,4,Urban with City and Town,Predominantly Urban
E06000005,E06000005,Darlington,13201,92363,0,0,92363,105564,0,13201,12.5,4,Urban with City and Town,Predominantly Urban
E06000006,E06000006,Halton,3148,122598,0,0,122598,125746,0,3148,2.5,4,Urban with City and Town,Predominantly Urban
E06000007,E06000007,Warrington,25164,177064,0,0,177064,202228,0,25164,12.44,4,Urban with City and Town,Predominantly Urban
E06000008,E06000008,Blackburn with Darwen,6931,140558,0,0,140558,147489,0,6931,4.69,4,Urban with City and Town,Predominantly Urban
E06000009,E06000009,Blackpool,555,141510,0,0,141510,142065,0,555,0.39,4,Urban with City and Town,Predominantly Urban
E06000010,E06000010,Kingston upon Hull,0,256406,0,0,256406,256406,0,0,0,4,Urban with City and Town,Predominantly Urban
E06000011,E06000011,East Riding of Yorkshire,146674,187505,0,0,187505,334179,53794,200468,59.98,2,Largely Rural (rural including hub towns 50-79%) ,Predominantly Rural
E06000012,E06000012,North East Lincolnshire,15814,143802,0,0,143802,159616,9642,25456,15.94,4,Urban with City and Town,Predominantly Urban
E06000013,E06000013,North Lincolnshire,75295,92151,0,0,92151,167446,1108,76403,45.62,3,Urban with Significant Rural (rural including hub towns 26-49%),Urban with Significant Rural
E06000014,E06000014,York,32440,165611,0,0,165611,198051,0,32440,16.37,4,Urban with City and Town,Predominantly Urban
E06000015,E06000015,Derby,0,248752,0,0,248752,248752,0,0,0,4,Urban with City and Town,Predominantly Urban
E06000016,E06000016,Leicester,556,329283,0,0,329283,329839,0,556,0.16,4,Urban with City and Town,Predominantly Urban
E06000017,E06000017,Rutland,25847,11522,0,0,11522,37369,11522,37369,100,1,Mainly Rural (rural including hub towns >=80%) ,Predominantly Rural
E06000018,E06000018,Nottingham,0,0,305680,0,305680,305680,0,0,0,5,Urban with Minor Conurbation,Predominantly Urban
E06000019,E06000019,Herefordshire,99142,84335,0,0,84335,183477,21520,120662,65.76,2,Largely Rural (rural including hub towns 50-79%) ,Predominantly Rural
E06000020,E06000020,Telford and Wrekin,11177,155464,0,0,155464,166641,12741,23918,14.35,4,Urban with City and Town,Predominantly Urban
E06000021,E06000021,Stoke-on-Trent,671,248337,0,0,248337,249008,0,671,0.26,4,Urban with City and Town,Predominantly Urban
E06000022,E06000022,Bath and North East Somerset,37103,138913,0,0,138913,176016,27136,64239,36.49,3,Urban with Significant Rural (rural including hub towns 26-49%),Urban with Significant Rural
E06000023,E06000023,Bristol,0,428234,0,0,428234,428234,0,0,0,4,Urban with City and Town,Predominantly Urban
E06000024,E06000024,North Somerset,37238,165328,0,0,165328,202566,41545,78783,38.89,3,Urban with Significant Rural (rural including hub towns 26-49%),Urban with Significant Rural
E06000025,E06000025,South Gloucestershire,34363,228404,0,0,228404,262767,11687,46050,17.52,4,Urban with City and Town,Predominantly Urban
