Zone Code,Zone Name,people,households,rent,%rent,nocar,%nocar
00ABFX,Abbey,10206,64,4090,40.074466,118,1.156182638
00BAFX,Abbey,9526,42,4561,47.87948772,127,1.333193366
00CSFA,Abbey,11405,61,5060,44.36650592,145,1.271372205
00FKMX,Abbey,12375,96,5197,41.9959596,191,1.543434343
00FNNF,Abbey,12713,76,5463,42.97176119,113,0.888853929
00HANP,Abbey,5197,45,3090,59.45737926,176,3.386569175
00MCMR,Abbey,8228,38,4197,51.00875061,193,2.345649003
11UFGK,Abbey,9178,126,3050,33.23164088,160,1.743299194
12UBFQ,Abbey,8396,41,3651,43.48499285,133,1.584087661
19UEGE,Abbey,3817,61,1501,39.3240765,93,2.436468431
23UEFR,Abbey,9556,128,3797,39.73419841,48,0.502302219
24UNGA,Abbey,4157,40,2055,49.43468848,93,2.237190281
29UMGC,Abbey,4887,35,2173,44.4649069,81,1.657458564
32UDFM,Abbey,7330,58,3059,41.73260573,177,2.41473397
33UHGU,Abbey,2784,17,1345,48.31178161,50,1.795977011
37UJGG,Abbey,4559,83,1849,40.55713972,22,0.482561965
41UCGC,Abbey,2722,38,1011,37.14180749,48,1.763409258
44UCFR,Abbey,7234,46,3294,45.53497374,98,1.354713851
44UFFX,Abbey,7552,143,3403,45.06091102,79,1.046080508
47UDFM,Abbey,5259,63,2065,39.26602016,60,1.140901312
00GLMX,Abbey Green,11652,39,4873,41.82114658,171,1.467559217
00HXMY,Abbey Meads,4288,25,1670,38.94589552,20,0.46641791
34UCGD,Abbey North,6794,39,2728,40.15307624,61,0.897851045
00BKGA,Abbey Road,9554,154,4690,49.08938664,307,3.213313795
34UCGE,Abbey South,3499,30,1619,46.27036296,45,1.286081738
00ALGP,Abbey Wood,13372,62,5695,42.58899192,136,1.017050553
42UFGL,Abbeygate,4280,53,2196,51.30841121,119,2.780373832
26UJFX,Abbots Langley,4683,54,1955,41.74674354,40,0.854153321
17UGGC,Abbotsford,5410,30,2001,36.987061,14,0.258780037
00BYFA,Abercromby,11473,37,4956,43.19707138,192,1.673494291
00AWFY,Abingdon,9053,171,4459,49.25439081,239,2.640008837
38UEGJ,Abingdon Abbey and Barton,4524,43,2060,45.53492485,90,1.98938992
38UEGK,Abingdon Caldecott,4416,27,1706,38.63224638,27,0.611413043
38UEGL,Abingdon Dunmore,4774,85,1860,38.96103896,48,1.005446167
38UEGM,Abingdon Fitzharris,4296,85,1745,40.61918063,44,1.024208566
38UEGN,Abingdon Northcourt,4604,75,1907,41.42050391,51,1.107732407
38UEGP,Abingdon Ock Meadow,4153,49,1794,43.19768842,63,1.51697568
38UEGQ,Abingdon Peachcroft,4522,91,1692,37.41707209,20,0.442282176
34UFFY,Abington,8244,52,3666,44.46870451,101,1.22513343
00BWFA,Abram,11759,40,4817,40.96436772,169,1.437197041
00ECNC,Acklam,5665,65,2297,40.54721977,32,0.564872021
33UCGN,Acle,2732,27,1214,44.4363104,43,1.573938507
00CNFA,Acock's Green,26271,106,11095,42.23288036,392,1.492139622
00FFNG,Acomb,7729,66,3156,40.83322551,59,0.763358779
35UFGK,Acomb,1184,18,518,43.75,17,1.435810811
20UFGD,Acre Rigg,4117,11,1635,39.71338353,66,1.60310906
13UDGD,Acton,2024,32,762,37.64822134,35,1.729249012
00AJGC,Acton Central,13442,101,5591,41.59351287,148,1.101026633
38UBGJ,Adderbury,2712,46,1106,40.78171091,47,1.733038348
00AHGE,Addiscombe,15402,68,7473,48.51967277,162,1.051811453
00ANGA,Addison,11185,114,5464,48.85113992,171,1.528833259
36UEGD,Addlebrough,1279,25,561,43.86239249,26,2.032838155
43UGFQ,Addlestone Bourneside,5211,39,2466,47.32297064,69,1.32412205
43UGFR,Addlestone North,5500,39,2397,43.58181818,66,1.2
26UCGF,Adeyfield East,5491,48,2305,41.97778182,46,0.837734475
26UCGG,Adeyfield West,4930,28,2032,41.21703854,34,0.689655172
30UEFZ,Adlington and Anderton,6476,65,2852,44.03953057,58,0.895614577
