Zone Code,Zone Name,people,households,rent,%rent,qual,%noqual
00ABFX,Abbey,10206,64,4090,40.074466,303,2.968841858
00BAFX,Abbey,9526,42,4561,47.87948772,240,2.519420533
00CSFA,Abbey,11405,61,5060,44.36650592,205,1.797457256
00FKMX,Abbey,12375,96,5197,41.9959596,1027,8.298989899
00FNNF,Abbey,12713,76,5463,42.97176119,171,1.34507984
00HANP,Abbey,5197,45,3090,59.45737926,468,9.005195305
00MCMR,Abbey,8228,38,4197,51.00875061,225,2.7345649
11UFGK,Abbey,9178,126,3050,33.23164088,481,5.240793201
12UBFQ,Abbey,8396,41,3651,43.48499285,287,3.418294426
19UEGE,Abbey,3817,61,1501,39.3240765,52,1.362326434
23UEFR,Abbey,9556,128,3797,39.73419841,68,0.71159481
24UNGA,Abbey,4157,40,2055,49.43468848,22,0.529227809
29UMGC,Abbey,4887,35,2173,44.4649069,51,1.043585021
32UDFM,Abbey,7330,58,3059,41.73260573,390,5.320600273
33UHGU,Abbey,2784,17,1345,48.31178161,16,0.574712644
37UJGG,Abbey,4559,83,1849,40.55713972,93,2.039921035
41UCGC,Abbey,2722,38,1011,37.14180749,23,0.844966936
44UCFR,Abbey,7234,46,3294,45.53497374,61,0.843240254
44UFFX,Abbey,7552,143,3403,45.06091102,109,1.443326271
47UDFM,Abbey,5259,63,2065,39.26602016,50,0.950751093
00GLMX,Abbey Green,11652,39,4873,41.82114658,92,0.789564023
00HXMY,Abbey Meads,4288,25,1670,38.94589552,27,0.629664179
34UCGD,Abbey North,6794,39,2728,40.15307624,34,0.500441566
00BKGA,Abbey Road,9554,154,4690,49.08938664,453,4.741469542
34UCGE,Abbey South,3499,30,1619,46.27036296,21,0.600171478
00ALGP,Abbey Wood,13372,62,5695,42.58899192,197,1.47322764
42UFGL,Abbeygate,4280,53,2196,51.30841121,24,0.560747664
26UJFX,Abbots Langley,4683,54,1955,41.74674354,35,0.747384155
17UGGC,Abbotsford,5410,30,2001,36.987061,39,0.720887246
00BYFA,Abercromby,11473,37,4956,43.19707138,2602,22.67933409
00AWFY,Abingdon,9053,171,4459,49.25439081,570,6.296255385
38UEGJ,Abingdon Abbey and Barton,4524,43,2060,45.53492485,42,0.928381963
38UEGK,Abingdon Caldecott,4416,27,1706,38.63224638,27,0.611413043
38UEGL,Abingdon Dunmore,4774,85,1860,38.96103896,41,0.858818601
38UEGM,Abingdon Fitzharris,4296,85,1745,40.61918063,53,1.233705773
38UEGN,Abingdon Northcourt,4604,75,1907,41.42050391,29,0.629887055
38UEGP,Abingdon Ock Meadow,4153,49,1794,43.19768842,22,0.529737539
38UEGQ,Abingdon Peachcroft,4522,91,1692,37.41707209,23,0.508624502
34UFFY,Abington,8244,52,3666,44.46870451,361,4.378942261
00BWFA,Abram,11759,40,4817,40.96436772,105,0.892933073
00ECNC,Acklam,5665,65,2297,40.54721977,75,1.3239188
33UCGN,Acle,2732,27,1214,44.4363104,9,0.32942899
00CNFA,Acock's Green,26271,106,11095,42.23288036,343,1.305622169
00FFNG,Acomb,7729,66,3156,40.83322551,31,0.401086816
35UFGK,Acomb,1184,18,518,43.75,6,0.506756757
20UFGD,Acre Rigg,4117,11,1635,39.71338353,34,0.825844061
13UDGD,Acton,2024,32,762,37.64822134,12,0.592885375
00AJGC,Acton Central,13442,101,5591,41.59351287,452,3.362594852
38UBGJ,Adderbury,2712,46,1106,40.78171091,16,0.589970501
00AHGE,Addiscombe,15402,68,7473,48.51967277,319,2.07115959
00ANGA,Addison,11185,114,5464,48.85113992,381,3.406347787
36UEGD,Addlebrough,1279,25,561,43.86239249,4,0.312744332
43UGFQ,Addlestone Bourneside,5211,39,2466,47.32297064,27,0.518134715
43UGFR,Addlestone North,5500,39,2397,43.58181818,38,0.690909091
26UCGF,Adeyfield East,5491,48,2305,41.97778182,28,0.509925332
26UCGG,Adeyfield West,4930,28,2032,41.21703854,29,0.588235294
30UEFZ,Adlington and Anderton,6476,65,2852,44.03953057,45,0.694873379
44UDFZ,Admirals,4743,48,1865,39.32110479,28,0.590343664
00CEFA,Adwick,16040,60,6507,40.56733167,78,0.486284289
47UGFU,Aggborough and Spennells,7225,105,2831,39.183391,70,0.968858131
00BYFB,Aigburth,16269,126,7177,44.11457373,1776,10.9164669
30ULGB,"Aighton, Bailey and Chaigley",1623,37,492,30.3142329,54,3.327171904
00CAGA,Ainsdale,12723,223,5388,42.34850271,137,1.076790065
36UBGB,Aire Valley with Lothersdale,3475,56,1393,40.08633094,32,0.920863309
00DAFA,Aireborough,25617,261,10663,41.62470235,244,0.952492485
33UEGT,Airfield,4962,77,1624,32.72873841,29,0.584441757
24UNGB,Alamein,7989,31,2966,37.12604832,53,0.663412192
39UBFX,Albrighton South,3056,31,1294,42.34293194,10,0.327225131
44UEGN,Alcester,6129,60,2604,42.4865394,45,0.734214391
40UFFW,Alcombe East,1916,8,621,32.41127349,8,0.417536534
40UFFX,Alcombe West,2569,19,1169,45.50408719,10,0.38925652
12UEGM,Alconbury and The Stukeleys,4014,57,1496,37.26955655,27,0.67264574
00BCFY,Aldborough,11611,112,4430,38.15347515,261,2.247868401
46UBGJ,Aldbourne,1782,25,740,41.52637486,7,0.392817059
26UCGH,Aldbury and Wigginton,2364,48,976,41.28595601,20,0.846023689
42UGGW,Aldeburgh,3538,43,1812,51.21537592,18,0.508762012
26UEFX,Aldenham East,4823,136,1852,38.39933651,73,1.513580759
26UEFY,Aldenham West,5119,116,1771,34.5966009,250,4.883766361
46UDGP,Alderbury and Whiteparish,5773,132,2352,40.7413823,37,0.640914602
19UDGA,Alderholt,2793,31,1106,39.59899749,21,0.751879699
13UGGN,Alderley Edge,4808,117,2189,45.52828619,58,1.206322795
00MBNJ,Aldermaston,2602,67,1091,41.92928517,16,0.614911606
00HPMP,Alderney,11196,45,4512,40.30010718,72,0.643086817
00AAFA,Aldersgate,1600,17,994,62.125,75,4.6875
00CUFA,Aldridge Central and South,12267,125,5210,42.47167197,96,0.78258743
00CUFB,Aldridge North and Walsall Wood,12874,99,5210,40.46916265,91,0.706851018
45UCGE,Aldwick East,4675,62,2256,48.25668449,35,0.748663102
45UCGF,Aldwick West,4727,58,2245,47.4931246,26,0.550031733
00APGA,Alexandra,10475,173,4330,41.33651551,263,2.510739857
00AXFX,Alexandra,9045,123,3436,37.98783858,204,2.255389718
00BPFA,Alexandra,11159,52,4023,36.05161753,154,1.380051976
13UDGE,Alexandra,5913,27,2393,40.47015052,99,1.674277017
42UDFS,Alexandra,7112,52,3444,48.42519685,114,1.602924634
43ULGF,"Alfold, Cranleigh Rural and Ellens Green",1789,30,842,47.06539966,12,0.670765791
32UCHC,Alford,4333,40,1845,42.58019848,19,0.438495269
17UBGC,Alfreton,7928,30,3396,42.83551968,64,0.807265388
47UCHQ,Alfrick and Leigh,3289,68,1314,39.95135299,28,0.85132259
21UHGM,Alfriston,2295,37,1102,48.01742919,11,0.479302832
00ABFY,Alibon,9300,9,3829,41.17204301,76,0.817204301
46UBGK,All Cannings,1853,71,739,39.88127361,14,0.75553157
00CLFA,All Saints,7507,18,3447,45.917144,61,0.81257493
09UEGC,All Saints,4648,53,2176,46.81583477,22,0.473321859
16UBGM,All Saints,4767,92,2019,42.35368156,44,0.923012377
23UBFQ,All Saints,5240,65,2570,49.04580153,222,4.236641221
32UGGM,All Saints,4811,37,1986,41.28039909,26,0.540428185
33UBGU,All Saints,2322,29,900,38.75968992,16,0.689061154
34UEFZ,All Saints,3492,56,1369,39.20389462,23,0.658648339
41UDGE,All Saints,3611,37,1425,39.4627527,29,0.803101634
42UCFR,All Saints,3261,29,1632,50.04599816,18,0.551977921
15UEGE,Allan,2271,41,934,41.12725672,21,0.924702774
35UFGL,Allendale,2402,40,1024,42.63114072,22,0.915903414
00BYFC,Allerton,15624,137,6241,39.94495648,244,1.561699949
00FKMY,Allestree,13018,201,5718,43.92379782,130,0.998617299
29UHGF,Allington,6765,80,2827,41.78861789,55,0.81300813
18UGGM,Allington and Loddiswell,2031,42,842,41.45741014,15,0.738552437
00CZFA,Almondbury,12841,91,5583,43.47792228,333,2.593255977
00HDNR,Almondsbury,3703,68,1428,38.56332703,27,0.729138536
35UBFT,Alnmouth and Lesbury,1699,48,771,45.37963508,13,0.765155974
35UBFU,Alnwick Castle,3387,56,1454,42.92884559,21,0.620017715
35UBFW,Alnwick Clayport,2215,9,934,42.16704289,21,0.948081264
35UBFX,Alnwick Hotspur,2165,40,1080,49.88452656,12,0.554272517
00AEGJ,Alperton,12323,110,4199,34.07449485,428,3.473180232
18UCFU,Alphington,8520,57,3727,43.74413146,101,1.185446009
17UBGD,Alport,2472,56,1032,41.74757282,21,0.849514563
22UNGK,Alresford,2125,30,852,40.09411765,20,0.941176471
41UDGF,Alrewas and Fradley,4686,68,1863,39.75672215,33,0.704225352
13UCFU,Alsager Central,3677,99,1361,37.01387,343,9.328256731
13UCFW,Alsager East,5180,71,2238,43.2046332,209,4.034749035
13UCFX,Alsager West,3721,75,1473,39.58613276,253,6.799247514
30ULGC,Alston and Hothersall,2565,34,988,38.51851852,20,0.779727096
16UFGF,Alston Moor,2156,24,936,43.41372913,16,0.742115028
15UEGF,Altarnun,2042,30,863,42.26248776,17,0.83251714
30UGFT,Altham,4686,24,1811,38.64703372,28,0.597524541
22UKFX,Althorne,4002,21,1538,38.43078461,27,0.674662669
41UHGF,Alton,1396,28,564,40.40114613,9,0.64469914
42UBGH,Alton,3854,62,1581,41.02231448,16,0.415153088
24UCGJ,Alton Amery,2434,37,944,38.78389482,15,0.616269515
24UCGK,Alton Ashdell,2200,37,948,43.09090909,18,0.818181818
24UCGL,Alton Eastbrooke,2686,19,1097,40.84139985,15,0.558451229
22UNGL,Alton Park,5178,20,2281,44.05175744,23,0.444186945
24UCGM,Alton Westbrooke,2554,15,1306,51.13547377,13,0.509005482
24UCGN,Alton Whitedown,2254,54,905,40.15084295,14,0.621118012
24UCGP,Alton Wooteys,2381,28,975,40.94918102,12,0.50398992
00BUFA,Altrincham,10778,147,4953,45.95472258,129,1.196882539
00FKMZ,Alvaston,13686,51,6148,44.92181792,113,0.82566126
47UBFY,Alvechurch,6261,72,2564,40.95192461,36,0.574988021
39UBFY,Alveley,2920,53,1167,39.96575342,18,0.616438356
24UFFL,Alverstoke,4175,89,1815,43.47305389,29,0.694610778
38UFGL,Alvescot and Filkins,1684,47,711,42.22090261,13,0.771971496
00HDNS,Alveston,2922,65,1233,42.19712526,18,0.616016427
23UDGF,"Alvington, Aylburton and West Lydney",3022,42,1307,43.24950364,16,0.529450695
23UFGJ,Amberley and Woodchester,2108,62,880,41.74573055,20,0.948766603
31UEFU,Ambien,3488,44,1341,38.44610092,53,1.519495413
35UBFY,Amble Central,2223,19,950,42.73504274,11,0.494826811
35UBFZ,Amble East,2304,15,992,43.05555556,14,0.607638889
35UBGA,Amble West,2077,17,867,41.74289841,21,1.011073664
00CRFA,Amblecote,19170,140,7433,38.77412624,137,0.71465832
18UHGL,Ambrook,5884,103,2147,36.48878314,56,0.951733515
38UBGK,Ambrosden and Chesterton,3330,64,1100,33.03303303,13,0.39039039
11UCGH,Amersham Common,2416,70,959,39.69370861,29,1.200331126
11UCGK,Amersham Town,4392,86,1868,42.53187614,58,1.320582878
11UCGJ,Amersham-on-the-Hill,4506,83,1930,42.83177985,36,0.798934754
46UDGQ,Amesbury East,6812,65,2762,40.54609513,29,0.425719319
46UDGR,Amesbury West,2095,37,861,41.09785203,5,0.238663484
19UDGB,Ameysford,2558,16,1132,44.25332291,12,0.469116497
41UKFL,Amington,8206,50,3087,37.6188155,55,0.670241287
36UFGF,Amotherby,1809,32,732,40.46434494,10,0.552791598
24UNGC,Ampfield and Braishfield,2117,50,870,41.09589041,17,0.803023146
36UFGG,Ampleforth,2048,43,628,30.6640625,84,4.1015625
23UCGL,Ampney-Coln,1811,75,791,43.67752623,7,0.386526781
24UNGD,Amport,2155,59,891,41.34570766,11,0.510440835
09UCGH,Ampthill,6897,86,2843,41.22082065,56,0.811947223
00EYMZ,Anchorsholme,6551,44,3174,48.45061823,35,0.534269577
00BYFD,Anfield,14002,25,6003,42.87244679,233,1.664047993
24UFFM,Anglesey,4204,101,1466,34.8715509,48,1.141769743
41UCGD,Anglesey,5835,47,2266,38.83461868,81,1.388174807
45UCGG,Angmering,5812,69,2562,44.08121129,28,0.481761872
24UNGE,Anna,3645,133,1473,40.41152263,22,0.603566529
20UDGA,Annfield Plain,4541,8,1970,43.38251486,32,0.704690597
30UFFZ,Ansdell,4036,88,1849,45.81268583,34,0.842418236
