Zone Code,Zone Name,people,households,rent,%rent
00ABFX,Abbey,10206,64,4090,40.074466
00BAFX,Abbey,9526,42,4561,47.87948772
00CSFA,Abbey,11405,61,5060,44.36650592
00FKMX,Abbey,12375,96,5197,41.9959596
00FNNF,Abbey,12713,76,5463,42.97176119
00HANP,Abbey,5197,45,3090,59.45737926
00MCMR,Abbey,8228,38,4197,51.00875061
11UFGK,Abbey,9178,126,3050,33.23164088
12UBFQ,Abbey,8396,41,3651,43.48499285
19UEGE,Abbey,3817,61,1501,39.3240765
23UEFR,Abbey,9556,128,3797,39.73419841
24UNGA,Abbey,4157,40,2055,49.43468848
29UMGC,Abbey,4887,35,2173,44.4649069
32UDFM,Abbey,7330,58,3059,41.73260573
33UHGU,Abbey,2784,17,1345,48.31178161
37UJGG,Abbey,4559,83,1849,40.55713972
41UCGC,Abbey,2722,38,1011,37.14180749
44UCFR,Abbey,7234,46,3294,45.53497374
44UFFX,Abbey,7552,143,3403,45.06091102
47UDFM,Abbey,5259,63,2065,39.26602016
00GLMX,Abbey Green,11652,39,4873,41.82114658
00HXMY,Abbey Meads,4288,25,1670,38.94589552
34UCGD,Abbey North,6794,39,2728,40.15307624
00BKGA,Abbey Road,9554,154,4690,49.08938664
34UCGE,Abbey South,3499,30,1619,46.27036296
00ALGP,Abbey Wood,13372,62,5695,42.58899192
42UFGL,Abbeygate,4280,53,2196,51.30841121
26UJFX,Abbots Langley,4683,54,1955,41.74674354
17UGGC,Abbotsford,5410,30,2001,36.987061
00BYFA,Abercromby,11473,37,4956,43.19707138
00AWFY,Abingdon,9053,171,4459,49.25439081
38UEGJ,Abingdon Abbey and Barton,4524,43,2060,45.53492485
38UEGK,Abingdon Caldecott,4416,27,1706,38.63224638
38UEGL,Abingdon Dunmore,4774,85,1860,38.96103896
38UEGM,Abingdon Fitzharris,4296,85,1745,40.61918063
38UEGN,Abingdon Northcourt,4604,75,1907,41.42050391
38UEGP,Abingdon Ock Meadow,4153,49,1794,43.19768842
38UEGQ,Abingdon Peachcroft,4522,91,1692,37.41707209
34UFFY,Abington,8244,52,3666,44.46870451
00BWFA,Abram,11759,40,4817,40.96436772
00ECNC,Acklam,5665,65,2297,40.54721977
33UCGN,Acle,2732,27,1214,44.4363104
00CNFA,Acock's Green,26271,106,11095,42.23288036
00FFNG,Acomb,7729,66,3156,40.83322551
35UFGK,Acomb,1184,18,518,43.75
20UFGD,Acre Rigg,4117,11,1635,39.71338353
13UDGD,Acton,2024,32,762,37.64822134
00AJGC,Acton Central,13442,101,5591,41.59351287
38UBGJ,Adderbury,2712,46,1106,40.78171091
00AHGE,Addiscombe,15402,68,7473,48.51967277
00ANGA,Addison,11185,114,5464,48.85113992
36UEGD,Addlebrough,1279,25,561,43.86239249
43UGFQ,Addlestone Bourneside,5211,39,2466,47.32297064
43UGFR,Addlestone North,5500,39,2397,43.58181818
26UCGF,Adeyfield East,5491,48,2305,41.97778182
26UCGG,Adeyfield West,4930,28,2032,41.21703854
30UEFZ,Adlington and Anderton,6476,65,2852,44.03953057
44UDFZ,Admirals,4743,48,1865,39.32110479
00CEFA,Adwick,16040,60,6507,40.56733167
47UGFU,Aggborough and Spennells,7225,105,2831,39.183391
00BYFB,Aigburth,16269,126,7177,44.11457373
30ULGB,"Aighton, Bailey and Chaigley",1623,37,492,30.3142329
00CAGA,Ainsdale,12723,223,5388,42.34850271
36UBGB,Aire Valley with Lothersdale,3475,56,1393,40.08633094
