"Zone Code","Zone Name","ks0010001","ks0010002","ks0010003","ks0010004","ks0010005","ks0010006"
"00AAFA","Aldersgate",1600,860,740,1530,70,17
"00AAFE","Bishopsgate",106,63,43,104,3,0
"00AAFQ","Cripplegate",3007,1499,1508,2863,144,26
"00AAFS","Farringdon Within",181,125,56,131,50,3
"00AAFT","Farringdon Without",687,425,262,644,43,8
"00AAFX","Portsoken",1073,550,523,1073,0,6
"00AAFY","Queenhithe",282,172,110,274,8,4
"00AAFZ","Tower",141,76,65,141,0,0
"00AAGB","Walbrook",108,62,46,101,7,3
"00ABFX","Abbey",10206,5142,5064,10204,3,64
"00ABFY","Alibon",9300,4395,4905,9300,0,9
"00ABFZ","Becontree",11450,5500,5950,11035,415,29
"00ABGA","Chadwell Heath",9299,4317,4982,9279,20,32
"00ABGB","Eastbrook",10096,4773,5323,9869,227,36
"00ABGC","Eastbury",10089,4730,5359,10032,57,38
"00ABGD","Gascoigne",9371,4431,4940,9230,141,38
"00ABGE","Goresbrook",10333,4986,5347,10242,91,23
"00ABGF","Heath",9649,4478,5171,9592,57,30
"00ABGG","Longbridge",8890,4292,4598,8872,18,51
"00ABGH","Mayesbrook",9316,4335,4981,9286,30,15
"00ABGJ","Parsloes",9039,4239,4800,9039,0,19
"00ABGK","River",10260,5014,5246,10186,74,32
"00ABGL","Thames",8547,4034,4513,8497,50,31
"00ABGM","Valence",8775,4061,4714,8775,0,13
"00ABGN","Village",9720,4675,5045,9681,39,30
"00ABGP","Whalebone",9604,4666,4938,9598,6,38
"00ACFX","Brunswick Park",14668,7093,7575,14552,116,185
"00ACFY","Burnt Oak",15243,7168,8075,15201,42,121
"00ACFZ","Childs Hill",17261,8130,9131,16658,603,332
"00ACGA","Colindale",13860,6555,7305,13775,85,151
"00ACGB","Coppetts",14504,6973,7531,14314,190,156
"00ACGC","East Barnet",15332,7459,7873,15287,45,155
"00ACGD","East Finchley",14534,6747,7787,14352,182,153
"00ACGE","Edgware",14816,7081,7735,14784,32,295
"00ACGF","Finchley Church End",13810,6642,7168,13676,134,275
"00ACGG","Garden Suburb",14727,6802,7925,14500,227,387
"00ACGH","Golders Green",16249,7741,8508,16046,203,384
"00ACGJ","Hale",15663,7486,8177,15553,110,221
"00ACGK","Hendon",15377,7390,7987,15124,253,236
"00ACGL","High Barnet",13847,6611,7236,13623,224,243
"00ACGM","Mill Hill",15379,7337,8042,14773,606,282
"00ACGN","Oakleigh",14740,7069,7671,14518,222,248
"00ACGP","Totteridge",14449,6928,7521,14205,244,303
"00ACGQ","Underhill",15721,7324,8397,15469,252,178
"00ACGR","West Finchley",14264,6747,7517,14053,211,198
"00ACGS","West Hendon",14587,6982,7605,14496,91,167
"00ACGT","Woodhouse",15533,7516,8017,15296,237,174
"00ADGA","Barnehurst",10277,4972,5305,10269,8,69
"00ADGB","Belvedere",10839,5151,5688,10839,0,58
"00ADGC","Blackfen and Lamorbey",10419,5084,5335,10415,4,76
"00ADGD","Blendon and Penhill",10418,5056,5362,10418,0,77
"00ADGE","Brampton",10387,5025,5362,10387,0,83
"00ADGF","Christchurch",10390,5013,5377,10250,140,92
"00ADGG","Colyers",10595,5063,5532,10516,79,55
"00ADGH","Crayford",10290,4949,5341,10271,19,36
"00ADGJ","Cray Meadows",10295,4825,5470,10263,32,66
"00ADGK","Danson Park",10315,5001,5314,10278,37,60
"00ADGL","East Wickham",10383,4974,5409,10335,48,66
"00ADGM","Erith",9811,4762,5049,9781,30,47
"00ADGN","Falconwood and Welling",10535,5129,5406,10535,0,68
"00ADGP","Lesnes Abbey",10947,5211,5736,10902,45,90
"00ADGQ","Longlands",9611,4480,5131,9388,223,90
"00ADGR","North End",10465,5068,5397,10465,0,32
"00ADGS","Northumberland Heath",10482,5085,5397,10473,9,72
"00ADGT","St Mary's",10043,4906,5137,9971,72,129
"00ADGU","St Michael's",10672,5250,5422,10672,0,78
"00ADGW","Sidcup",10432,4948,5484,10207,225,113
"00ADGX","Thamesmead East",10701,5196,5505,10627,74,48
"00AEGJ","Alperton",12323,6182,6141,12304,19,110
"00AEGK","Barnhill",13188,6236,6952,12898,290,196
"00AEGL","Brondesbury Park",11643,5610,6033,11518,125,157
"00AEGM","Dollis Hill",12102,5887,6215,12102,0,113
"00AEGN","Dudden Hill",13350,6501,6849,13331,19,123
"00AEGP","Fryent",11888,5845,6043,11863,25,106
"00AEGQ","Harlesden",12227,5715,6512,12206,21,79
"00AEGR","Kensal Green",10668,5123,5545,10637,31,67
"00AEGS","Kenton",11872,5802,6070,11833,39,253
"00AEGT","Kilburn",14172,6684,7488,14092,80,65
"00AEGU","Mapesbury",13242,6545,6697,13128,114,95
"00AEGW","Northwick Park",12175,5915,6260,11449,726,187
"00AEGX","Preston",12832,6307,6525,12764,68,168
