GEO_CODE,GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese,,
E05000026,Abbey,2987,1580,2585,1923,27.07668408,,
E05000455,Abbey,1392,877,1963,1320,16.99045299,,
E05001260,Abbey,1117,2081,1635,1447,24.440527,,
E05001767,Abbey,2681,2647,2598,2093,26.49054611,,
E05001784,Abbey,4978,3952,2418,2131,10.71428571,,
E05001935,Abbey,991,538,1696,1124,26.56167199,,
E05002319,Abbey,1916,1310,2844,2308,22.38267148,,
E05002674,Abbey,656,1266,681,1181,12.54355401,,
E05002702,Abbey,3569,1618,1405,1244,18.85245902,,
E05003695,Abbey,451,626,109,534,13.93442623,,
E05004363,Abbey,348,1202,436,1210,15.26315789,,
E05004628,Abbey,961,986,674,795,24,,
E05005056,Abbey,964,1229,797,858,21.73788717,,
E05005607,Abbey,2227,2089,1930,1619,12.98546064,,
E05005890,Abbey,293,584,326,474,19.25287356,,
E05006489,Abbey,173,456,290,485,9.016784209,,
E05006917,Abbey,117,470,54,319,8.394282598,,
E05007474,Abbey,1194,1983,1534,1281,18.37837838,,
E05007542,Abbey,421,886,513,1036,24.6005825,,
E05007868,Abbey,1159,1171,538,821,13.2156632,,
E05008136,Abbey,242,680,438,554,22.37685877,,
E05008714,Abbey Hulton and Townsend,4255,3426,1540,1297,20.90121178,,
E05002147,Abbey Meads,1172,1089,573,2072,25.5746966,,
E05005941,Abbey North,2020,1428,602,1237,17.74157084,,
E05000630,Abbey Road,893,931,2524,1680,29.09467495,,
E05005942,Abbey South,543,990,466,607,17.66406637,,
E05000214,Abbey Wood,5621,2903,2662,2124,30.17902813,,
E05007163,Abbeygate,702,762,669,829,19.23818861,,
E05004818,Abbots Langley,626,702,321,621,14.40028186,,
E05003367,Abbotsford,259,737,180,601,14.47368421,,
E05008857,Abbott,363,752,316,360,10.62992126,,
E05000382,Abingdon,910,537,2603,1623,26.27984766,,
E05006598,Abingdon Abbey and Barton,842,582,539,850,17.98890484,,
E05006599,Abingdon Caldecott,1583,1028,408,649,13.49149896,,
E05006600,Abingdon Dunmore,66,393,144,558,17.36043634,,
E05006601,Abingdon Fitzharris,619,519,294,534,10.74752958,,
E05006602,Abingdon Northcourt,992,704,385,598,14.57275671,,
E05006603,Abingdon Ock Meadow,905,856,467,717,11.22634809,,
E05006604,Abingdon Peachcroft,50,416,109,465,18.42132239,,
E05008824,Abington,690,1370,1238,1277,20.14609865,,
E05000840,Abram,2860,3834,1754,1865,16.09756098,,
E05001482,Acklam,103,913,389,866,16.59366112,,
E05001444,"Ackworth, North Elmsall and Upton",1595,3716,1223,2118,15.58441558,,
E05005757,Acle,272,640,241,468,25.73161706,,
E05001178,Acocks Green,6288,6846,4128,3637,16.87657431,,
E05001745,Acomb,1349,1675,729,1170,25.72214288,,
E05000170,Acton Central,3014,1773,2821,2251,13.51562835,,
E05006517,Adderbury,165,386,89,351,22.19062901,,
E05000146,Addiscombe,2059,2105,3349,2513,23.17676111,,
E05000250,Addison,2813,911,3333,2031,21.71692841,,
E05006273,Addlebrough,152,220,74,211,14.1509434,,
E05007348,Addlestone Bourneside,775,1011,537,865,17.61754831,,
E05007349,Addlestone North,754,936,392,858,17.33333333,,
E05001411,Adel and Wharfedale,1673,2495,1287,2593,12.47892417,,
E05004691,Adeyfield East,1630,1175,513,761,23.68421053,,
E05004692,Adeyfield West,1910,1078,586,782,20.69662248,,
E05005165,Adlington and Anderton,570,1285,506,1016,20.84805654,,
E05007491,Admirals,1088,848,328,809,17.43772242,,
E05000997,Adwick,4007,4529,2141,2075,17.85714286,,
E05007927,Aggborough and Spennells,762,1059,341,930,23.35817042,,
E05005292,"Aighton, Bailey and Chaigley",15,204,33,153,21.63989058,,
E05000932,Ainsdale,1136,2265,1024,1835,14.05405405,,
E05006189,Aire Valley with Lothersdale,173,465,161,435,19.43069933,,
E05001445,Airedale and Ferry Fryston,5535,5095,2111,2008,15.23295313,,
E05005801,Airfield,309,747,117,525,23.83561644,,
E05004629,Alamein,3927,1628,942,1169,17.64705882,,
E05008137,Albrighton,724,881,330,700,22.91901938,,
E05008585,Alcester,1211,1270,499,908,13.07189542,,
E05008916,Alcombe,328,534,266,415,14.88494253,,
E05008525,Alconbury and The Stukeleys,289,607,121,423,14.72392638,,
E05000495,Aldborough,1387,2197,1254,1840,15.56440805,,
E05008327,Aldbourne and Ramsbury,719,668,228,681,15.26637673,,
E05004693,Aldbury and Wigginton,266,330,68,313,22.90519286,,
E05007194,Aldeburgh,445,705,284,677,14.82889734,,
E05004746,Aldenham East,115,398,166,543,9.722222222,,
E05004747,Aldenham West,433,554,181,551,21.57881009,,
E05008328,Alderbury and Whiteparish,341,551,131,516,12.26993865,,
E05003671,Alderholt,177,394,68,331,13.08435897,,
E05008610,Alderley Edge,268,529,286,616,11.45374449,,
E05002289,Aldermaston,236,430,100,375,15.78947368,,
E05002131,Alderney,2783,2898,901,1666,10.34482759,,
E05000001,"Aldersgate, Cheap",68,25,519,314,12.32876712,,
E36007052,"Aldgate, Billingsgate, Bishopsgate, Bridge, Broad Street, Candlewick, Cornhill, Langbourn, Lime Street, Portsoken, Tower",713,211,579,318,24.13310775,,
E05001301,Aldridge Central and South,1515,3068,1220,1949,14.28571429,,
E05001302,Aldridge North and Walsall Wood,1894,3238,992,1810,24.00685115,,
E05007576,Aldwick East,37,1046,334,877,20.84675564,,
E05007577,Aldwick West,374,1110,352,854,21.48148148,,
E05000266,Alexandra,969,743,1254,1330,16.40625,,
E05000400,Alexandra,354,1154,534,1174,20.58189707,,
E05000719,Alexandra,4455,3609,2361,1584,9.774820679,,
E05007117,Alexandra,975,1306,1719,1550,16.60244347,,
E05007411,"Alfold, Cranleigh Rural and Ellens Green",169,326,158,325,24.34839912,,
E05005559,Alford,621,1207,337,714,18.99641577,,
E05003280,Alfreton,1889,2476,1120,1147,7.382550336,,
E05007846,Alfrick and Leigh,290,562,75,465,17.27272727,,
E05003986,Alfriston,115,528,151,400,23.35720002,,
E05000027,Alibon,3504,2386,1535,1462,19.85815603,,
E05003114,All Saints,714,871,385,689,16.78571429,,
E05004288,All Saints,241,452,755,835,28.28900963,,
E05005662,All Saints,1363,1031,503,713,12.55605381,,
E05005721,All Saints,156,491,59,307,12.03007519,,
E05005987,All Saints,392,1406,859,1112,18.82306867,,
E05006938,All Saints,151,773,166,447,17.78846154,,
E05007103,All Saints,397,595,389,587,15.93396169,,
E05000886,Allerton and Hunts Cross,1532,3004,1600,1991,22.50131301,,
E05001768,Allestree,273,1821,872,1908,18.63800629,,
E05004982,Allington,49,1253,368,1005,10.12345679,,
E05003560,Allington and Loddiswell,177,317,80,319,14.17004049,,
E05008558,Almondbury,2176,3438,2068,2535,11.43176418,,
E05002043,Almondsbury,385,471,85,454,18.72537151,,
E05008018,Alnwick,1414,987,656,679,14.55223881,,
