GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese
Abbey,0.210544865,0.175770386,0.288343558,0.282835711,0.781736352
Abbey,0.098117995,0.097563689,0.218962632,0.194146198,0.490534761
Abbey,0.078734052,0.231505173,0.182375906,0.212825416,0.705627335
Abbey,0.188975823,0.29447102,0.289793642,0.307839388,0.764813846
Abbey,0.350884613,0.439648459,0.269715561,0.313428445,0.309334282
Abbey,0.069852682,0.059850929,0.189180145,0.165318429,0.766867335
Abbey,0.135053218,0.145733674,0.317233687,0.339461686,0.646214577
Abbey,0.046239515,0.140838803,0.075962075,0.173702015,0.362147452
Abbey,0.251568337,0.179997775,0.15672058,0.182968084,0.544293108
Abbey,0.031789667,0.069640672,0.012158394,0.078540962,0.402303602
Abbey,0.024529499,0.13371899,0.048633575,0.177967348,0.440665679
Abbey,0.06773807,0.109689621,0.07518126,0.11692896,0.692908792
Abbey,0.067949531,0.136722661,0.088901283,0.126195029,0.627598881
Abbey,0.156974695,0.23239515,0.215281651,0.238123253,0.374905827
Abbey,0.02065271,0.064968295,0.036363636,0.069716135,0.555853557
Abbey,0.012194262,0.050728668,0.03234802,0.07133402,0.260325377
Abbey,0.008246987,0.052286127,0.006023424,0.046918665,0.242353009
Abbey,0.084161556,0.220602959,0.171109872,0.18841006,0.530605832
Abbey,0.029675055,0.098564913,0.057222532,0.152375349,0.710248329
Abbey,0.081694509,0.13027033,0.060011154,0.120753052,0.381552051
Abbey,0.01705787,0.075648014,0.048856665,0.081482571,0.646046757
Abbey Hulton and Townsend,0.299922464,0.381132495,0.171779141,0.190763348,0.603443058
Abbey Meads,0.082610841,0.12114807,0.063915226,0.304750699,0.738372172
Abbey North,0.142383873,0.15886083,0.067150028,0.18193852,0.512220434
Abbey Road,0.06294495,0.103571031,0.28153932,0.247095161,0.839998169
Abbey South,0.038274477,0.110134609,0.051979922,0.089277835,0.509982787
Abbey Wood,0.396207796,0.322950273,0.296932515,0.312398882,0.871304747
Abbeygate,0.04948192,0.084770275,0.074623536,0.121929696,0.555429584
Abbots Langley,0.044124903,0.07809545,0.035805912,0.091336961,0.415753413
Abbotsford,0.01825615,0.081989098,0.020078081,0.088395352,0.417872627
Abbott,0.025586805,0.083657804,0.035248187,0.052948963,0.306898579
Abingdon,0.06414323,0.059739682,0.290351366,0.238711575,0.758730729
Abingdon Abbey and Barton,0.059350109,0.0647458,0.060122699,0.125018385,0.519361263
Abingdon Caldecott,0.111581025,0.114361998,0.045510318,0.095455214,0.38951576
Abingdon Dunmore,0.004652146,0.043720102,0.016062465,0.082070893,0.501216624
Abingdon Fitzharris,0.043631494,0.057737234,0.0327942,0.078540962,0.310294072
Abingdon Northcourt,0.069923169,0.078317944,0.042944785,0.087954111,0.420732969
Abingdon Ock Meadow,0.063790794,0.0952275,0.052091467,0.105456685,0.324118137
Abingdon Peachcroft,0.003524353,0.046278785,0.012158394,0.068392411,0.531845677
Abington,0.048636075,0.152408499,0.138092582,0.187821738,0.581642036
Abram,0.201593008,0.426521304,0.195649749,0.274305045,0.464755897
Acklam,0.007260168,0.101568584,0.043390965,0.127371672,0.479078903
"Ackworth, North Elmsall and Upton",0.11242687,0.413394148,0.136419409,0.311516399,0.449940774
Acle,0.019172482,0.071198131,0.02688232,0.068833652,0.742902654
Acocks Green,0.443222669,0.761597508,0.460457334,0.534931608,0.487246946
Acomb,0.095087052,0.186338859,0.08131623,0.17208413,0.742629123
Acton Central,0.212448016,0.197241072,0.314668154,0.3310781,0.390212405
Adderbury,0.011630366,0.042941373,0.009927496,0.051625239,0.640670081
Addiscombe,0.145132868,0.234175103,0.373563859,0.369613178,0.669140897
Addison,0.198280116,0.10134609,0.371779141,0.2987204,0.626993776
Addlebrough,0.010714034,0.024474358,0.008254322,0.031033976,0.408554712
Addlestone Bourneside,0.054627476,0.112470798,0.05989961,0.127224592,0.508639755
Addlestone North,0.053147247,0.104127267,0.0437256,0.126195029,0.500434127
Adel and Wharfedale,0.117924861,0.277561464,0.143558282,0.381379615,0.360281511
Adeyfield East,0.114893917,0.130715319,0.057222532,0.111928225,0.683791571
Adeyfield West,0.134630295,0.119924352,0.06536531,0.115016914,0.59753632
Adlington and Anderton,0.040177627,0.142952497,0.056441718,0.14943374,0.601908403
Admirals,0.076689927,0.094337524,0.036586726,0.118988086,0.503447966
Adwick,0.282441672,0.503838024,0.238817624,0.30519194,0.515557137
Aggborough and Spennells,0.053711144,0.117810657,0.03803681,0.136784821,0.674378402
"Aighton, Bailey and Chaigley",0.001057306,0.022694404,0.003680982,0.022503309,0.624769601
Ainsdale,0.080073307,0.251974636,0.114221974,0.269892631,0.4057574
Aire Valley with Lothersdale,0.012194262,0.051729892,0.017958728,0.063979997,0.5609876
Airedale and Ferry Fryston,0.390145908,0.566803871,0.235471277,0.29533755,0.439793631
Airfield,0.021780503,0.083101569,0.013050753,0.077217238,0.688162841
Alamein,0.276802707,0.181110246,0.105075293,0.17193705,0.509491759
Albrighton,0.051032636,0.098008677,0.036809816,0.102956317,0.661699584
Alcester,0.085359836,0.141283791,0.055660904,0.133549051,0.377401303
Alcombe,0.023119758,0.059405941,0.029670943,0.061038388,0.429746148
Alconbury and The Stukeleys,0.020370762,0.067526977,0.013496933,0.062215032,0.425097418
Aldborough,0.09776556,0.244409834,0.139877301,0.270628034,0.449363132
Aldbourne and Ramsbury,0.0506802,0.074313049,0.025432236,0.100161788,0.440758611
Aldbury and Wigginton,0.018749559,0.036711536,0.007585053,0.046036182,0.661300396
Aldeburgh,0.031366744,0.078429191,0.031678751,0.099573467,0.428128056
Aldenham East,0.008106013,0.044276338,0.018516453,0.079864686,0.280692219
Aldenham West,0.030520899,0.061630882,0.020189626,0.08104133,0.623006134
Alderbury and Whiteparish,0.024036089,0.061297141,0.014612381,0.075893514,0.354247849
Alderholt,0.012476211,0.043831349,0.007585053,0.04868363,0.37776114
Alderley Edge,0.018890534,0.058849705,0.03190184,0.090601559,0.330683344
Aldermaston,0.016634947,0.047836244,0.01115449,0.05515517,0.455861047
Alderney,0.196165504,0.322394037,0.100501952,0.245036035,0.298667583
"Aldersgate, Cheap",0.00479312,0.002781177,0.057891801,0.046183262,0.355946297
"Aldgate, Billingsgate, Bishopsgate, Bridge, Broad Street, Candlewick, Cornhill, Langbourn, Lime Street, Portsoken, Tower",0.050257278,0.023473134,0.064584495,0.046771584,0.696751772
Aldridge Central and South,0.106787904,0.341306041,0.136084774,0.286659803,0.412445709
Aldridge North and Walsall Wood,0.133502502,0.360218044,0.110652538,0.26621562,0.693106593
Aldwick East,0.002608021,0.116364445,0.037255996,0.128989557,0.601870844
Aldwick West,0.026362163,0.123484259,0.039263804,0.125606707,0.620196141
Alexandra,0.068301967,0.08265658,0.139877301,0.195617003,0.473668119
Alexandra,0.024952421,0.12837913,0.059564975,0.172672452,0.59422406
Alexandra,0.314019877,0.401490711,0.263357501,0.232975438,0.282210799
Alexandra,0.068724889,0.145288686,0.191745678,0.227974702,0.47933246
"Alfold, Cranleigh Rural and Ellens Green",0.011912314,0.036266548,0.017624094,0.047801147,0.702967492
Alford,0.043772468,0.134275225,0.03759063,0.105015443,0.548449312
Alfreton,0.133150067,0.275447769,0.124930284,0.16870128,0.213143085
Alfrick and Leigh,0.020441249,0.062520859,0.008365867,0.068392411,0.498684358
Alfriston,0.008106013,0.058738458,0.016843279,0.058832181,0.674350385
Alibon,0.246986678,0.265435532,0.171221417,0.215031622,0.573328788
All Saints,0.050327765,0.096896206,0.042944785,0.101338432,0.484623709
All Saints,0.016987383,0.05028368,0.084216397,0.122812178,0.816737645
All Saints,0.09607387,0.114695739,0.056107083,0.104868363,0.362508336
All Saints,0.010995982,0.054622316,0.006581149,0.045153699,0.347322703
All Saints,0.02763093,0.156413394,0.095817066,0.163553464,0.543444574
All Saints,0.010643547,0.085993993,0.018516453,0.065744962,0.513574225
All Saints,0.027983365,0.066192012,0.043390965,0.086336226,0.460032589
Allerton and Hunts Cross,0.107986185,0.334186228,0.178471835,0.292837182,0.6496399
Allestree,0.019242969,0.202580932,0.09726715,0.280629504,0.538101601
Allington,0.003453866,0.139392591,0.041048522,0.147815855,0.292276342
Allington and Loddiswell,0.012476211,0.035265324,0.008923592,0.046918665,0.409106068
Almondbury,0.153379855,0.38246746,0.230674847,0.372848948,0.330048746
Almondsbury,0.02713752,0.052397375,0.009481316,0.066774526,0.54062394
Alnwick,0.099668711,0.109800868,0.073173452,0.099867628,0.420140592
Alperton,0.106224008,0.279675159,0.164863358,0.243712311,0.626170796
Alphington,0.062169592,0.17143175,0.09224763,0.174878659,0.595120677
Alport,0.006343836,0.049282456,0.010150586,0.0519194,0.374382015
Alresford,0.007260168,0.049282456,0.008923592,0.043388734,0.403186226
Alrewas and Fradley,0.041164446,0.089665146,0.019854992,0.101779673,0.506781696
Alsager,0.073658984,0.201690956,0.090239822,0.245183115,0.37313374
Alston and Hothersall,0.00408825,0.041495161,0.013496933,0.047801147,0.394182431
Alston Moor,0.017410305,0.045611303,0.018516453,0.048389469,0.547980277
Altarnun,0.013251568,0.102681055,0.016062465,0.091336961,0.504100311
Altham,0.028124339,0.102903549,0.043948689,0.096778938,0.451112495
Althorne,0.017410305,0.103904772,0.014277747,0.084718341,0.395490026
Altofts and Whitwood,0.205469796,0.466236511,0.198549916,0.311222239,0.4800437
Alton,0.005991401,0.030259206,0.00591188,0.027945286,0.594100498
Alton,0.02882921,0.074201802,0.020635806,0.07780556,0.672129811
Alton Amery,0.010150137,0.034597842,0.008142777,0.047212825,0.442910449
Alton Ashdell,0.009304293,0.027589276,0.013608477,0.050889837,0.45858657
Alton Eastbrooke,0.083033763,0.071531872,0.03759063,0.059420503,0.567958026
Alton Park,0.042080778,0.159083324,0.09682097,0.103103398,0.567958026
Alton Westbrooke,0.041023472,0.064523306,0.05354155,0.08118841,0.598366832
Alton Whitedown,0.027983365,0.041272667,0.013273843,0.049566113,0.605877346
Alton Wooteys,0.035525481,0.055401046,0.020189626,0.049124871,0.585746638
Altrincham,0.067244661,0.146178663,0.109313999,0.21106045,0.567958026
