OBJECTID_1,objectid,lsoa01cd,lsoa01nm,lsoa01nmw,st_areasha,st_lengths,Shape_Length,Shape_Area,LSOA_ElecMean,LSOA_GasMean,LSOA_PrcnPost2000,Day_Jan18,Day_Jun18,Nit_Jan18,Nit_Jun18,Efficiency,Potential_Efficiency,EfficiencyDiff,AgePost2000,AgePre2000,TotalBldngs,Area_Calculate_SqM,Total_KWH_Saved,TotalKWHSaved_2,OBJECTID_12,Field1,LSOA,Field3,Field4,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,Energy_Consumption_Difference,EnergySavingKwH
1,6,E01000006,Barking and Dagenham 016A,Barking and Dagenham 016A,146536.393839660013327,1966.180407735398148,1966.180407738073200,146536.393839719530661,4508,15816.0000000,0.0203327,4.526666666666700,29.271666666666700,2.189090909090940,14.864313725490200,0,2,0,11,530,541,146536.3906250,10990229.0000000,10990229.0000000,2,2,E01000006,,,66.666666669999998,79.000000000000000,64.250000000000000,76.583333330000002,215.916666700000007,140.833333299999993,3.141666667000000,37.833333330000002,1.883333333000000,85.500000000000000,59.916666669999998,538.416666699999951,391.666666700000007,112.166666699999993,90.166666669999998,89.000000000000000,75,10990230.0000000
2,7,E01000007,Barking and Dagenham 015A,Barking and Dagenham 015A,200094.036402569996426,2949.775496769949314,2949.775496768382254,200094.036402443918632,3212,8072.0000000,0.5951116,4.186666666666700,28.982500000000002,2.566363636363670,14.542941176470601,0,2,0,560,371,941,200094.0312500,18008462.0000000,18008462.0000000,3,3,E01000007,,,67.250000000000000,77.500000000000000,66.250000000000000,78.500000000000000,245.000000000000000,155.000000000000000,2.200000000000000,43.000000000000000,1.275000000000000,61.750000000000000,43.250000000000000,389.250000000000000,284.750000000000000,80.500000000000000,72.750000000000000,54.750000000000000,90,18008464.0000000
3,8,E01000008,Barking and Dagenham 015B,Barking and Dagenham 015B,195064.767284784989897,4135.108312688196747,4135.108312686538738,195064.767284732341068,2802,8980.0000000,0.0018832,4.186666666666700,28.982500000000002,2.566363636363670,14.542941176470601,3,2,2,1,530,531,195064.7656250,5656878.0000000,5656878.0000000,4,4,E01000008,,,72.000000000000000,76.000000000000000,71.000000000000000,76.000000000000000,174.000000000000000,145.000000000000000,2.300000000000000,31.000000000000000,1.900000000000000,80.000000000000000,56.000000000000000,401.000000000000000,342.000000000000000,83.000000000000000,83.000000000000000,77.000000000000000,29,5656878.5000000
4,9,E01000009,Barking and Dagenham 016B,Barking and Dagenham 016B,127961.843514285006677,2159.015070387060405,2159.015070392565121,127961.843514292922919,3809,13617.0000000,0.1515152,3.943333333333360,28.730000000000000,2.157272727272760,14.685294117647100,0,2,0,100,560,660,127961.8437500,14843574.0000000,14843574.0000000,5,5,E01000009,,,65.125000000000000,76.875000000000000,62.375000000000000,77.500000000000000,295.500000000000000,180.000000000000000,2.375000000000000,51.875000000000000,1.337500000000000,46.875000000000000,39.250000000000000,377.500000000000000,251.625000000000000,126.625000000000000,83.000000000000000,48.875000000000000,116,14843574.0000000
5,10,E01000010,Barking and Dagenham 015C,Barking and Dagenham 015C,352067.365417314984370,3239.890050425137360,3239.890050425181926,352067.365417352470104,3136,10954.0000000,0.5284419,4.901833333333360,29.184568627451000,1.940543589743620,14.846426470588300,3,2,2,641,571,1213,352067.3750000,9857886.0000000,9857886.0000000,6,6,E01000010,,,77.310344830000005,81.413793100000007,81.172413789999993,84.517241380000002,128.172413799999987,100.172413800000001,1.568965517000000,22.310344829999998,1.244827586000000,55.275862070000002,51.034482760000003,283.275862099999983,204.655172399999998,112.137930999999995,104.620689700000000,67.310344830000005,28,9857886.0000000
6,11,E01000011,Barking and Dagenham 016C,Barking and Dagenham 016C,91630.590710524993483,1543.256245004539323,1543.256245007401276,91630.590710540796863,3957,14367.0000000,0.0000000,4.065000000000030,28.856249999999999,2.361818181818210,14.614117647058899,0,2,0,0,463,464,91630.5937500,9712843.0000000,9712843.0000000,7,7,E01000011,,,67.333333330000002,82.000000000000000,64.000000000000000,81.000000000000000,210.000000000000000,103.666666699999993,3.000000000000000,37.000000000000000,1.366666667000000,61.666666669999998,56.333333330000002,524.000000000000000,361.666666700000007,97.333333330000002,75.333333330000002,81.666666669999998,106,9712843.0000000
7,12,E01000012,Barking and Dagenham 015D,Barking and Dagenham 015D,139051.079167115007294,2286.407459142059906,2286.407459139044477,139051.079167205694830,4972,9511.0000000,0.2133713,4.186666666666700,28.982500000000002,2.566363636363670,14.542941176470601,0,2,2,150,553,703,139051.0781250,8621167.0000000,8621167.0000000,8,8,E01000012,,,68.285714290000001,76.571428569999995,62.857142860000003,72.142857140000004,251.857142900000014,189.428571400000010,2.642857143000000,43.857142860000003,1.842857143000000,59.428571429999998,47.428571429999998,408.000000000000000,341.428571400000010,126.285714299999995,89.857142859999996,62.428571429999998,62,8621167.0000000
8,13,E01000013,Barking and Dagenham 013A,Barking and Dagenham 013A,207829.771222740004305,3327.329005542213054,3327.329005541147126,207829.771222600451438,3262,11227.0000000,0.0301659,5.528750000000030,32.189411764705902,2.269685314685340,14.561994505494500,0,2,0,20,642,663,207829.7656250,34291912.0000000,34291912.0000000,9,9,E01000013,,,60.181818180000000,80.000000000000000,54.636363639999999,76.181818179999993,309.636363599999981,144.181818200000009,3.481818182000000,54.272727269999997,1.600000000000000,45.909090910000003,45.909090910000003,588.272727300000042,430.181818200000009,112.090909100000005,65.545454550000002,62.545454550000002,165,34291912.0000000
9,14,E01000014,Barking and Dagenham 013B,Barking and Dagenham 013B,341219.725394734996371,4030.888346872856346,4030.888346871150134,341219.725394656241406,3172,10881.0000000,0.0000000,5.503357142857170,32.058584967320300,2.100778554778580,14.689190009990000,0,2,0,0,662,662,341219.7187500,48794420.0000000,48794420.0000000,10,10,E01000014,,,61.909090910000003,79.909090910000003,56.090909089999997,75.818181820000007,292.454545499999995,149.909090899999995,3.154545455000000,51.181818180000000,1.545454545000000,52.727272730000003,47.727272730000003,547.818181800000048,423.818181799999991,101.363636400000004,67.181818179999993,66.727272729999996,143,48794420.0000000
10,15,E01000015,Barking and Dagenham 009A,Barking and Dagenham 009A,280627.698005669983104,3294.965447910397870,3294.965447907161888,280627.698005678539630,2949,9885.0000000,0.3023256,5.450250000000030,32.181764705882401,2.143916083916110,14.664065934066000,0,2,0,260,600,860,280627.6875000,46022940.0000000,46022940.0000000,11,11,E01000015,,,63.049999999999997,83.299999999999997,58.899999999999999,82.099999999999994,266.899999999999977,102.700000000000003,2.965000000000000,47.149999999999999,1.100000000000000,54.500000000000000,46.700000000000003,518.450000000000045,379.699999999999989,96.849999999999994,58.649999999999999,63.899999999999999,164,46022944.0000000
11,16,E01000016,Barking and Dagenham 009B,Barking and Dagenham 009B,198778.220844844996464,2760.394303121085159,2760.394303125992792,198778.220844742289046,3305,11585.0000000,0.0015601,6.052500000000030,32.270000000000003,2.360909090909110,14.723846153846200,0,2,0,1,640,641,198778.2187500,32599628.0000000,32599628.0000000,12,12,E01000016,,,61.589743589999998,81.794871790000002,56.923076920000000,79.410256410000002,279.128205100000002,115.256410299999999,3.171794872000000,49.333333330000002,1.330769231000000,49.384615380000000,46.538461540000000,566.410256399999980,432.461538500000017,90.641025639999995,54.435897439999998,64.769230769999993,164,32599628.0000000
12,17,E01000017,Barking and Dagenham 009C,Barking and Dagenham 009C,158369.559786530007841,2233.804543487466162,2233.804543482002373,158369.559786602010718,3352,11075.0000000,0.0029718,6.088392857142890,32.608750000000001,2.321818181818210,14.996013986014001,0,2,0,2,670,673,158369.5625000,20904782.0000000,20904782.0000000,13,13,E01000017,,,66.142857140000004,82.571428569999995,63.142857139999997,82.285714290000001,243.428571400000010,111.714285700000005,2.700000000000000,43.000000000000000,1.100000000000000,50.857142860000003,47.000000000000000,485.571428599999990,344.142857100000015,82.428571430000005,59.142857139999997,65.142857140000004,132,20904782.0000000
13,18,E01000018,Barking and Dagenham 009D,Barking and Dagenham 009D,173981.218210515013197,2628.512682220650731,2628.512682218306509,173981.218210530205397,3164,11231.0000000,0.0316957,5.450250000000030,32.181764705882401,2.143916083916110,14.664065934066000,0,2,0,20,611,631,173981.2187500,30272732.0000000,30272732.0000000,14,14,E01000018,,,61.441176470000002,82.764705879999994,56.647058819999998,80.235294120000006,282.235294099999976,108.029411800000005,3.102941176000000,49.823529409999999,1.232352941000000,46.852941180000002,45.176470590000001,559.705882399999950,425.029411799999991,85.029411760000002,54.000000000000000,62.588235290000000,174,30272732.0000000
14,19,E01000019,Barking and Dagenham 005A,Barking and Dagenham 005A,183865.628906330006430,3263.018662162937744,3263.018662168819901,183865.628906387370080,3637,13471.0000000,0.0019157,6.298000000000040,31.951250000000002,3.188181818181850,15.471250000000000,0,2,0,1,520,522,183865.6250000,37508588.0000000,37508588.0000000,15,15,E01000019,,,60.000000000000000,87.000000000000000,54.000000000000000,86.000000000000000,273.000000000000000,69.000000000000000,3.700000000000000,48.000000000000000,1.000000000000000,91.000000000000000,54.000000000000000,607.000000000000000,358.000000000000000,119.000000000000000,66.000000000000000,76.000000000000000,204,37508588.0000000
15,20,E01000020,Barking and Dagenham 005B,Barking and Dagenham 005B,187235.458707599987974,3215.690856710602930,3215.690856711324159,187235.458707516227150,3372,11895.0000000,0.0447094,6.516857142857180,32.253958333333401,2.769090909090940,15.774910714285800,0,2,0,30,640,671,187235.4531250,22281018.0000000,22281018.0000000,16,16,E01000020,,,66.799999999999997,83.799999999999997,64.000000000000000,81.799999999999997,209.599999999999994,90.200000000000003,2.900000000000000,37.000000000000000,1.280000000000000,85.200000000000003,56.200000000000003,498.199999999999989,421.399999999999977,102.400000000000006,69.400000000000006,79.000000000000000,119,22281020.0000000
16,21,E01000021,Barking and Dagenham 008A,Barking and Dagenham 008A,169362.815147554996656,2775.310040918565846,2775.310040919818221,169362.815147534915013,4357,12968.0000000,0.0016920,5.683845238095270,31.904479166666700,3.098545454545480,15.523383928571500,0,2,0,1,590,591,169362.8125000,30824032.0000000,30824032.0000000,17,17,E01000021,,,59.666666669999998,83.666666669999998,53.666666669999998,80.666666669999998,273.666666700000007,92.000000000000000,4.133333333000000,48.333333330000002,1.533333333000000,97.000000000000000,57.666666669999998,704.000000000000000,465.666666700000007,102.333333300000007,62.000000000000000,85.666666669999998,182,30824032.0000000
17,22,E01000022,Barking and Dagenham 008B,Barking and Dagenham 008B,128261.942381839995505,1941.517934543925548,1941.517934545224989,128261.942381856526481,3475,11703.0000000,0.0941620,6.119571428571460,31.963472222222300,2.978060606060640,15.625178571428600,0,2,0,50,481,531,128261.9453125,17443624.0000000,17443624.0000000,18,18,E01000022,,,65.166666669999998,83.500000000000000,61.500000000000000,81.500000000000000,228.500000000000000,92.833333330000002,3.083333333000000,40.166666669999998,1.316666667000000,73.833333330000002,53.833333330000002,543.833333300000049,436.000000000000000,93.833333330000002,62.500000000000000,76.166666669999998,136,17443624.0000000
18,23,E01000023,Barking and Dagenham 008C,Barking and Dagenham 008C,207296.013164605014026,2543.877035197399891,2543.877035196647739,207296.013164537900593,3209,11290.0000000,0.5904618,5.325000000000020,31.382500000000000,3.396000000000030,15.325714285714300,0,2,0,780,540,1321,207296.0156250,14096129.0000000,14096129.0000000,19,19,E01000023,,,64.000000000000000,80.500000000000000,72.500000000000000,81.000000000000000,244.500000000000000,176.000000000000000,1.850000000000000,34.500000000000000,1.050000000000000,69.500000000000000,72.000000000000000,520.500000000000000,317.500000000000000,148.500000000000000,105.000000000000000,82.500000000000000,68,14096129.0000000
19,24,E01000024,Barking and Dagenham 008D,Barking and Dagenham 008D,128639.510417024997878,2343.194921796409744,2343.194921793625326,128639.510417084151413,3465,12448.0000000,0.0248869,6.735714285714320,32.556666666666700,2.350000000000030,16.078571428571500,0,2,0,11,430,442,128639.5078125,20067764.0000000,20067764.0000000,20,20,E01000024,,,60.250000000000000,82.000000000000000,54.750000000000000,79.500000000000000,255.250000000000000,99.250000000000000,4.125000000000000,45.000000000000000,1.675000000000000,79.000000000000000,64.500000000000000,737.250000000000000,492.500000000000000,101.750000000000000,68.750000000000000,91.500000000000000,156,20067764.0000000
20,25,E01000025,Barking and Dagenham 008E,Barking and Dagenham 008E,153350.249020990013378,2476.063723050376666,2476.063723049891451,153350.249020947172539,3190,10357.0000000,0.0306749,6.030357142857170,31.969583333333400,2.873000000000030,15.702142857142899,0,2,0,20,632,652,153350.2500000,30976750.0000000,30976750.0000000,21,21,E01000025,,,60.200000000000003,85.400000000000006,54.799999999999997,84.000000000000000,284.800000000000011,83.000000000000000,3.480000000000000,50.200000000000003,1.060000000000000,60.799999999999997,52.600000000000001,582.600000000000023,379.000000000000000,127.799999999999997,61.799999999999997,70.400000000000006,202,30976750.0000000
21,27,E01000027,Barking and Dagenham 001A,Barking and Dagenham 001A,1474529.719331884989515,6757.478873816197847,6757.478873824547009,1474529.719331967178732,3640,11879.0000000,0.0170543,5.680158730158760,28.514783882783899,2.752074074074110,13.303518518518500,0,2,0,11,633,645,1474529.7500000,237399296.0000000,237399296.0000000,22,22,E01000027,,,57.833333330000002,78.666666669999998,51.666666669999998,74.333333330000002,284.000000000000000,123.333333300000007,6.433333333000000,50.166666669999998,2.883333333000000,121.666666699999993,75.000000000000000,1025.166666999999961,654.333333300000049,169.833333299999993,82.833333330000002,129.833333299999993,161,237399280.0000000
22,28,E01000028,Barking and Dagenham 001B,Barking and Dagenham 001B,143894.447909659997094,2616.382050225870444,2616.382050223340229,143894.447909555805381,2996,9927.0000000,0.0453858,6.366000000000030,30.244285714285699,2.928181818181850,14.031250000000000,0,2,0,30,630,661,143894.4531250,19569646.0000000,19569646.0000000,23,23,E01000028,,,70.500000000000000,88.000000000000000,69.000000000000000,87.000000000000000,197.000000000000000,61.000000000000000,2.350000000000000,35.000000000000000,0.800000000000000,82.500000000000000,48.500000000000000,383.000000000000000,335.500000000000000,99.000000000000000,64.000000000000000,68.500000000000000,136,19569644.0000000
23,29,E01000029,Barking and Dagenham 001C,Barking and Dagenham 001C,256877.022671765007544,4059.629531878624221,4059.629531878804301,256877.022671791026369,3383,13794.0000000,0.0014881,6.127428571428610,30.021730769230800,2.919863636363670,14.087261029411801,0,2,0,1,670,672,256877.0156250,47265372.0000000,47265372.0000000,24,24,E01000029,,,58.200000000000003,80.400000000000006,51.000000000000000,76.400000000000006,320.399999999999977,136.199999999999989,3.980000000000000,56.000000000000000,1.860000000000000,82.200000000000003,52.600000000000001,619.600000000000023,421.600000000000023,162.000000000000000,84.599999999999994,72.599999999999994,184,47265372.0000000
24,30,E01000030,Barking and Dagenham 001D,Barking and Dagenham 001D,286265.207393774995580,4896.546925604859098,4896.546925611249208,286265.207393671153113,2936,10085.0000000,0.0264817,6.070571428571460,29.757069597069599,2.880727272727310,13.980514705882401,0,2,0,21,771,793,286265.2187500,17462178.0000000,17462178.0000000,25,25,E01000030,,,70.750000000000000,78.750000000000000,69.500000000000000,78.875000000000000,187.750000000000000,127.125000000000000,2.487500000000000,33.000000000000000,1.637500000000000,83.625000000000000,56.750000000000000,407.125000000000000,330.000000000000000,106.625000000000000,87.500000000000000,74.250000000000000,61,17462178.0000000
25,31,E01000031,Barking and Dagenham 002A,Barking and Dagenham 002A,843422.902227299986407,5400.366680619697036,5400.366680614782126,843422.902227129205130,3952,15629.0000000,0.0156006,5.912857142857170,28.687857142857201,3.032777777777810,13.947647058823600,0,2,0,10,621,641,843422.8750000,114705512.0000000,114705512.0000000,26,26,E01000031,,,66.166666669999998,83.833333330000002,62.333333330000002,83.000000000000000,236.833333299999993,101.333333300000007,3.116666667000000,41.333333330000002,1.233333333000000,74.500000000000000,52.000000000000000,534.333333300000049,336.500000000000000,107.333333300000007,75.333333330000002,74.500000000000000,136,114705512.0000000
26,32,E01000032,Barking and Dagenham 002B,Barking and Dagenham 002B,375434.099704570020549,3774.174780699077473,3774.174780695342633,375434.099704559135716,3268,13801.0000000,0.0165414,6.154571428571460,31.069700630252100,3.102545454545480,14.880865196078499,0,2,0,11,653,665,375434.0937500,57441416.0000000,57441416.0000000,27,27,E01000032,,,61.250000000000000,81.250000000000000,57.500000000000000,80.500000000000000,264.500000000000000,111.250000000000000,3.500000000000000,45.250000000000000,1.525000000000000,78.000000000000000,53.500000000000000,616.000000000000000,414.750000000000000,104.750000000000000,74.250000000000000,76.750000000000000,153,57441416.0000000
27,33,E01000033,Barking and Dagenham 006A,Barking and Dagenham 006A,145321.223531669995282,2508.626184060712603,2508.626184062485208,145321.223531728261150,3256,10767.0000000,0.0367776,6.057946428571460,31.752581699346401,2.408977272727300,15.038315861769799,0,2,0,21,550,571,145321.2187500,23542038.0000000,23542038.0000000,28,28,E01000033,,,65.500000000000000,83.500000000000000,64.500000000000000,85.500000000000000,271.000000000000000,108.500000000000000,2.200000000000000,47.500000000000000,0.750000000000000,63.000000000000000,35.000000000000000,392.000000000000000,243.500000000000000,78.000000000000000,65.000000000000000,46.500000000000000,162,23542038.0000000
28,34,E01000034,Barking and Dagenham 003A,Barking and Dagenham 003A,513671.829245009983424,6168.848087223821494,6168.848087221997957,513671.829244964523241,3500,11754.0000000,0.0019084,6.346666666666690,31.207500000000000,3.230000000000020,14.963749999999999,0,2,0,1,522,524,513671.8437500,58044920.0000000,58044920.0000000,29,29,E01000034,,,69.000000000000000,84.333333330000002,66.000000000000000,84.000000000000000,199.333333299999993,86.000000000000000,2.866666667000000,35.000000000000000,1.300000000000000,71.666666669999998,60.333333330000002,488.666666700000007,344.666666700000007,101.666666699999993,76.333333330000002,83.666666669999998,113,58044916.0000000
29,35,E01000035,Barking and Dagenham 010A,Barking and Dagenham 010A,397163.700103380018845,3610.502849417181096,3610.502849413576314,397163.700103426759597,3392,12845.0000000,0.0687919,6.052500000000030,32.270000000000003,2.360909090909110,14.723846153846200,0,2,0,41,554,596,397163.6875000,57191572.0000000,57191572.0000000,30,30,E01000035,,,58.909090910000003,79.000000000000000,55.818181820000000,76.545454550000002,289.272727299999985,145.181818200000009,3.572727273000000,50.727272730000003,1.700000000000000,74.363636360000001,54.363636360000001,634.636363599999981,367.636363599999981,118.818181800000005,79.454545449999998,72.090909089999997,144,57191572.0000000
30,36,E01000036,Barking and Dagenham 010B,Barking and Dagenham 010B,418688.615080124989618,4394.200559271930615,4394.200559268285360,418688.615080328541808,3519,13877.0000000,0.0020661,5.692166666666690,31.654791666666700,2.215557498057530,14.713285135916699,0,2,0,1,483,484,418688.6250000,59035096.0000000,59035096.0000000,31,31,E01000036,,,63.250000000000000,82.250000000000000,57.750000000000000,80.500000000000000,243.750000000000000,103.000000000000000,3.575000000000000,43.000000000000000,1.550000000000000,87.750000000000000,58.750000000000000,604.500000000000000,409.250000000000000,106.500000000000000,72.250000000000000,83.750000000000000,141,59035096.0000000
31,37,E01000037,Barking and Dagenham 003B,Barking and Dagenham 003B,233432.295773960009683,2905.852540094769665,2905.852540102276180,233432.295773868681863,3775,13425.0000000,0.0017731,6.320000000000030,30.447500000000002,3.200909090909120,14.758639705882400,0,2,0,1,562,564,233432.2968750,25444120.0000000,25444120.0000000,32,32,E01000037,,,69.666666669999998,84.666666669999998,66.000000000000000,82.666666669999998,188.000000000000000,78.666666669999998,3.300000000000000,33.333333330000002,1.466666667000000,74.333333330000002,61.333333330000002,550.666666699999951,444.666666700000007,110.333333300000007,70.000000000000000,94.333333330000002,109,25444120.0000000
32,38,E01000038,Barking and Dagenham 003C,Barking and Dagenham 003C,214042.602168465004070,2305.569542112795261,2305.569542116573302,214042.602168505633017,3717,13647.0000000,0.0016502,6.175000000000020,30.451527777777802,2.971818181818210,14.829944852941200,0,2,0,1,605,606,214042.6093750,43450648.0000000,43450648.0000000,33,33,E01000038,,,60.166666669999998,86.166666669999998,56.000000000000000,85.500000000000000,275.000000000000000,71.666666669999998,3.733333333000000,48.333333330000002,1.083333333000000,87.666666669999998,56.333333330000002,638.000000000000000,386.666666700000007,116.833333300000007,64.666666669999998,79.833333330000002,203,43450648.0000000
33,39,E01000039,Barking and Dagenham 003D,Barking and Dagenham 003D,1531803.448111105011776,7577.046022451583667,7577.046022443269976,1531803.448110969504341,3596,11775.0000000,0.0769231,6.236666666666690,31.425808823529401,3.024583333333360,14.802121710526301,0,2,0,51,611,663,1531803.5000000,248152160.0000000,248152160.0000000,34,34,E01000039,,,58.428571429999998,83.571428569999995,54.285714290000001,79.285714290000001,263.714285700000005,102.000000000000000,4.300000000000000,46.285714290000001,1.728571429000000,88.571428569999995,65.428571430000005,815.428571400000010,473.000000000000000,118.714285700000005,73.428571430000005,92.714285709999999,162,248152160.0000000
34,40,E01000040,Barking and Dagenham 019A,Barking and Dagenham 019A,170707.809727274987381,2287.523955741879490,2287.523955747998116,170707.809727377898525,3301,11072.0000000,0.0014859,5.051000000000030,29.916929824561400,1.613787878787910,14.944791666666699,0,2,0,1,672,673,170707.8125000,28337496.0000000,28337496.0000000,35,35,E01000040,,,59.857142860000003,80.857142859999996,55.857142860000003,79.857142859999996,284.714285700000005,118.428571399999996,3.271428571000000,50.142857139999997,1.271428571000000,77.571428569999995,47.714285709999999,544.428571400000010,368.857142899999985,116.857142899999999,67.428571430000005,65.142857140000004,166,28337496.0000000
35,41,E01000041,Barking and Dagenham 017A,Barking and Dagenham 017A,152636.858689265005523,2344.178126529548081,2344.178126526728192,152636.858689297689125,3328,11181.0000000,0.0032680,5.180000000000030,30.053071895424900,1.914242424242450,15.141284090909100,0,2,0,2,610,612,152636.8593750,29916824.0000000,29916824.0000000,36,36,E01000041,,,58.375000000000000,83.500000000000000,53.000000000000000,79.500000000000000,302.875000000000000,107.000000000000000,3.650000000000000,52.750000000000000,1.337500000000000,67.375000000000000,52.750000000000000,593.500000000000000,418.000000000000000,152.750000000000000,63.625000000000000,69.875000000000000,196,29916824.0000000
36,42,E01000042,Barking and Dagenham 017B,Barking and Dagenham 017B,231230.829117449990008,2610.452019524271236,2610.452019531790029,231230.829117448505713,3141,9244.0000000,0.1418539,5.077375000000030,29.986357069143502,1.961893939393970,15.272770833333400,3,2,2,101,610,712,231230.8281250,16417389.0000000,16417389.0000000,37,37,E01000042,,,71.500000000000000,80.200000000000003,70.299999999999997,81.299999999999997,182.599999999999994,111.700000000000003,2.270000000000000,31.899999999999999,1.450000000000000,59.500000000000000,57.000000000000000,399.199999999999989,288.100000000000023,91.500000000000000,82.299999999999997,73.599999999999994,71,16417389.0000000
37,44,E01000044,Barking and Dagenham 016D,Barking and Dagenham 016D,170628.581656244990882,2717.690089971163161,2717.690089977121715,170628.581656129681505,3637,12789.0000000,0.0031546,4.984458333333360,29.530131578947401,1.573045454545490,14.907395833333400,0,2,0,2,632,634,170628.5781250,41633372.0000000,41633372.0000000,38,38,E01000044,,,47.000000000000000,76.333333330000002,46.666666669999998,75.000000000000000,389.000000000000000,144.666666700000007,4.400000000000000,67.000000000000000,1.966666667000000,76.666666669999998,56.666666669999998,803.333333300000049,411.666666700000007,227.000000000000000,78.333333330000002,81.000000000000000,244,41633372.0000000
