field_1,LSOA,field_3,field_4,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,JunCURRENT_ENERGY_EFFICIENCY,JunPOTENTIAL_ENERGY_EFFICIENCY,JunENVIRONMENT_IMPACT_CURRENT,JunENVIRONMENT_IMPACT_POTENTIAL,JunENERGY_CONSUMPTION_CURRENT,JunENERGY_CONSUMPTION_POTENTIAL,JunCO2_EMISSIONS_CURRENT,JunCO2_EMISS_CURR_PER_FLOOR_AREA,JunCO2_EMISSIONS_POTENTIAL,JunLIGHTING_COST_CURRENT,JunLIGHTING_COST_POTENTIAL,JunHEATING_COST_CURRENT,JunHEATING_COST_POTENTIAL,JunHOT_WATER_COST_CURRENT,JunHOT_WATER_COST_POTENTIAL,TLSOA_ElecMean,TLSOA_GasMean,TLSOA_PrcnPost2000,TAgePost2000,TAgePre2000,TTotalBldngs,TDay_Jan18,TDay_Jun18,TNit_Jan18,TNit_Jun18,TEfficiency,TPotential_Efficiency,TEfficiencyDiff
796,E01000838,,,60,79,50.66666667,72,242.3333333,120,5.633333333,45.33333333,2.933333333,123.3333333,78,916,672,124.3333333,77.33333333,124.3333333,60,79,50.66666667,72,242.3333333,120,5.633333333,45.33333333,2.933333333,123.3333333,78,916,672,124.3333333,77.33333333,4233,18978,0.0017452,0,493,494,3.806923077,26.05625,-0.09875,14.022,2,0,1
3835,E01004042,,,64,74.5,57.5,71,231,152,3.7,41,2.4,64.5,64.5,621.5,489,113,96.5,89.5,64,74.5,57.5,71,231,152,3.7,41,2.4,64.5,64.5,621.5,489,113,96.5,2768,7508,0.0680272,0,670,740,4.025843254,29.84877318,-0.198157445,15.10193885,2,3,2
667,E01000702,,,52.22222222,78.77777778,44.77777778,73.66666667,335.1111111,136.3333333,5.533333333,58.66666667,2.288888889,91.44444444,65.88888889,903.2222222,525,179.2222222,84.55555556,102.1111111,52.22222222,78.77777778,44.77777778,73.66666667,335.1111111,136.3333333,5.533333333,58.66666667,2.288888889,91.44444444,65.88888889,903.2222222,525,179.2222222,84.55555556,3678,14674,0.0320513,0,670,670,4.053030303,30.23772222,0.145595238,14.47836601,2,0,1
794,E01000836,,,55,80,48.6,76.8,287.4,114.2,5.44,50.8,2.06,105.2,68,923,505.8,141.2,79.8,106,55,80,48.6,76.8,287.4,114.2,5.44,50.8,2.06,105.2,68,923,505.8,141.2,79.8,4208,17573,0,0,472,473,4.112097902,27.31718137,0.452888889,14.49852012,2,0,1
317,E01000332,,,60.66666667,77.66666667,51.33333333,70.33333333,300,177.1666667,4.183333333,52,2.283333333,90.83333333,58.83333333,644.8333333,462.8333333,142,102.3333333,81.66666667,60.66666667,77.66666667,51.33333333,70.33333333,300,177.1666667,4.183333333,52,2.283333333,90.83333333,58.83333333,644.8333333,462.8333333,142,102.3333333,4343,13986,0.0031546,0,610,611,4.22,32.16625,2.483333333,13.99,0,2,0
2395,E01002518,,,61.125,83.25,54.625,80,284.875,122.5,4.225,49.75,1.6,101.375,57.875,658,419.125,169.625,96.625,85.5,61.125,83.25,54.625,80,284.875,122.5,4.225,49.75,1.6,101.375,57.875,658,419.125,169.625,96.625,4101,16441,0.0040404,0,700,701,4.236481481,29.37723312,1.432962963,15.52686275,1,1,3
446,E01000466,,,57.4,73.6,52.2,72.2,318.4,181.6,3.92,56,2.04,59.2,50,654.4,446.2,152.6,88.4,74.6,57.4,73.6,52.2,72.2,318.4,181.6,3.92,56,2.04,59.2,50,654.4,446.2,152.6,88.4,3393,12393,0,0,493,503,4.269444444,26.60726365,3.239259259,14.75113131,0,3,0
722,E01000759,,,54.5,74.5,46.33333333,67.66666667,294,151.5,6.016666667,56,3.25,104.1666667,69.5,988.6666667,670,117,80,108.6666667,54.5,74.5,46.33333333,67.66666667,294,151.5,6.016666667,56,3.25,104.1666667,69.5,988.6666667,670,117,80,5256,19857,0.0036563,0,631,632,4.342587709,25.4358644,0.061565152,13.29805291,2,0,1
759,E01000799,,,53.42857143,74.28571429,50.42857143,69,324,194,3.928571429,57.71428571,2.171428571,69.28571429,52.57142857,696,436.1428571,156,85.14285714,71,53.42857143,74.28571429,50.42857143,69,324,194,3.928571429,57.71428571,2.171428571,69.28571429,52.57142857,696,436.1428571,156,85.14285714,3339,12276,0.1264223,0,631,631,4.386969697,31.03358761,-0.033265873,14.47981046,2,0,1
757,E01000797,,,58,77.33333333,50.33333333,73,243.3333333,127.3333333,7.566666667,43,3.366666667,134.6666667,81,1285.333333,716.3333333,190.3333333,86,171.6666667,58,77.33333333,50.33333333,73,243.3333333,127.3333333,7.566666667,43,3.366666667,134.6666667,81,1285.333333,716.3333333,190.3333333,86,4256,18502,0.042735,0,642,643,4.422727273,30.24066667,-0.045714286,15.06176471,2,0,1
