Code,New_code,Area_name,Inner/Outer London,Population_density_2017,Net_internal_migration_2015,Net_international_migration_2015,Net_natural_change_2015,Med_Income_Estimate_12/13,Med_houseprice_2015,PTAL2014
E09000001,E09000001,City of London,Inner London,30,-7,665,30,63620,799999,8
E09000002,E09000002,Barking and Dagenham,Outer London,58,-1176,2509,2356,29420,243500,3
E09000003,E09000003,Barnet,Outer London,45,-3379,5407,2757,40530,445000,3
E09000004,E09000004,Bexley,Outer London,40,413,760,1095,36990,275000,3
E09000005,E09000005,Brent,Outer London,77,-7739,7640,3372,32140,407250,4
E09000006,E09000006,Bromley,Outer London,22,1342,796,1445,43060,374975,3
E09000007,E09000007,Camden,Inner London,111,-2917,7504,1618,43750,700000,6
E09000008,E09000008,Croydon,Outer London,45,-2605,2438,3164,37000,300000,3
E09000009,E09000009,Ealing,Outer London,63,-6473,4007,3404,36070,430000,3
E09000010,E09000010,Enfield,Outer London,41,-2077,3164,2769,33110,320000,3
E09000011,E09000011,Greenwich,Outer London,59,-407,3366,2989,35350,340000,3
E09000012,E09000012,Hackney,Inner London,144,-738,3359,3236,35140,485000,5
E09000013,E09000013,Hammersmith and Fulham,Inner London,113,-3361,2926,1462,43820,730000,5
E09000014,E09000014,Haringey,Inner London,94,-4233,6675,2885,35420,432500,4
E09000015,E09000015,Harrow,Outer London,50,-3644,2833,1933,38880,396150,3
E09000016,E09000016,Havering,Outer London,23,1710,604,785,36670,287500,3
E09000017,E09000017,Hillingdon,Outer London,26,-1616,4139,2458,37040,350000,2
E09000018,E09000018,Hounslow,Outer London,49,-3994,4425,2871,35330,355000,3
E09000019,E09000019,Islington,Inner London,156,-1480,6295,1819,39790,583000,6
E09000020,E09000020,Kensington and Chelsea,Inner London,131,-1741,2234,1047,55620,1200000,6
E09000021,E09000021,Kingston upon Thames,Outer London,47,-226,2547,1207,43940,410000,3
E09000022,E09000022,Lambeth,Inner London,123,-1572,4598,3130,38490,450000,5
E09000023,E09000023,Lewisham,Inner London,86,-1536,3683,3239,35900,352000,4
E09000024,E09000024,Merton,Outer London,55,-2060,1077,2029,41960,415000,3
E09000025,E09000025,Newham,Inner London,95,-7273,11182,4616,28780,305000,4
E09000026,E09000026,Redbridge,Outer London,54,-2912,3685,2960,36860,345000,3
E09000027,E09000027,Richmond upon Thames,Outer London,34,-1192,913,1391,53470,575000,3
E09000028,E09000028,Southwark,Inner London,109,-2438,5497,3304,37100,475000,5
E09000029,E09000029,Sutton,Outer London,46,161,568,1269,39940,320000,3
E09000030,E09000030,Tower Hamlets,Inner London,154,-2798,10532,3509,34930,415000,5
E09000031,E09000031,Waltham Forest,Outer London,71,-5787,5814,3125,33080,366569,4
E09000032,E09000032,Wandsworth,Inner London,94,-2507,1296,3574,47480,557000,4
E09000033,E09000033,Westminster,Inner London,113,-3273,10763,1522,47510,920000,7
