,Time (mins),Distance (m),Size (Moment Magnitude),Time (mins)_standard,Distance (m)_standard,Size (Moment Magnitude)_standard
0,14963,20518,3.0,-2.8222186027674887,-0.9540010396812367,2.468986434529478
1,15229,35321,1.8,-2.774784361310424,0.07163696585968729,-1.0911958791395626
2,17442,38120,1.9,-2.3801528712935665,0.2655679783239882,-0.794514019667143
3,17902,51661,2.0,-2.2981237319317254,1.2037672779949773,-0.49783216019472265
4,18393,36197,1.7,-2.21056654187376,0.13233134489460247,-1.387877738611983
5,18688,21457,2.4,-2.1579608981525795,-0.8889416539349064,0.6888952776949573
6,18985,50482,1.5,-2.104998605999391,1.1220792952527798,-1.981241457556823
7,19827,38701,2.5,-1.9548496161240205,0.30582304021815,0.9855771371673776
8,20000,22431,2.0,-1.923999526755328,-0.8214572644600122,-0.49783216019472265
9,20403,40080,2.4,-1.852134867705715,0.40136818712357014,0.6888952776949573
10,20465,873,2.5,-1.841078766313467,-2.315120989613781,0.9855771371673776
11,20507,26386,2.3,-1.8335891492412988,-0.5474318431322843,0.39221341822253697
12,20595,60527,2.0,-1.8178966182329466,1.8180553653506373,-0.49783216019472265
13,20619,25368,2.7,-1.8136168370488506,-0.6179648087230877,1.5789408561122182
14,20679,6520,2.9,-1.8029173840886104,-1.9238639594651896,2.1723045750570575
15,20698,23061,2.5,-1.7995292239845344,-0.7778071973458609,0.9855771371673776
16,20716,32656,2.3,-1.7963193880964623,-0.11300974661525445,0.39221341822253697
17,20945,49642,2.3,-1.7554831426315458,1.0638792057672448,0.39221341822253697
18,21033,25325,2.4,-1.7397906116231936,-0.6209440990181805,0.6888952776949573
19,21040,51542,1.8,-1.7385423421111654,1.1955222653178599,-1.0911958791395626
20,21095,37008,2.1,-1.7287345102309453,0.1885221455764703,-0.20115030072230236
21,21106,36185,2.2,-1.7267729438549013,0.13149991504480912,0.09553155875011796
22,21135,23224,2.3,-1.7216015415907853,-0.7665136085528343,0.39221341822253697
23,21233,38234,2.6,-1.704125768422393,0.2734665618970251,1.282258996639798
24,21269,52790,1.6,-1.697706096646249,1.2819909696963692,-1.6845595980844026
25,21301,24568,2.7,-1.6919997217341207,-0.6733934653759782,1.5789408561122182
26,21351,20392,2.0,-1.6830835109339206,-0.962731053104067,-0.49783216019472265
27,21383,48875,1.8,-1.6773771360217926,1.0107369812012859,-1.0911958791395626
28,21394,53458,1.4,-1.6754155696457487,1.328273898001533,-2.277923317029243
29,21478,53434,1.4,-1.6604363355014125,1.326611038301946,-2.277923317029243
30,21509,38007,2.3,-1.6549082848052883,0.2577386805717674,0.39221341822253697
31,21523,23442,2.5,-1.6524117457812322,-0.7514092996149218,0.9855771371673776
32,21641,21397,2.9,-1.63136948829276,-0.8930988031838732,2.1723045750570575
33,21657,41116,2.3,-1.6285163008366959,0.47314829748906345,0.39221341822253697
34,21681,22566,2.3,-1.6242365196525999,-0.8121036786498369,0.39221341822253697
35,21691,22736,2.4,-1.6224532774925597,-0.8003250891110977,0.6888952776949573
36,21708,51762,2.2,-1.619421765820492,1.210765145897405,0.09553155875011796
37,21712,49372,1.5,-1.618708468956476,1.0451720341468942,-1.981241457556823
38,21712,23759,1.9,-1.618708468956476,-0.7294456944162139,-0.794514019667143
39,21729,44029,2.1,-1.6156769572844079,0.6749778935264013,-0.20115030072230236
40,21751,55753,1.9,-1.6117538245323197,1.4872848567745127,-0.794514019667143
41,21819,37058,2.2,-1.5996277778440475,0.19198643661727596,0.09553155875011796
42,21823,25022,1.9,-1.5989144809800315,-0.6419377027254628,-0.794514019667143
43,21829,22229,2.9,-1.5978445356840074,-0.835453000264867,2.1723045750570575
44,21837,50520,2.3,-1.5964179419559754,1.1247121564437923,0.39221341822253697
45,21865,23707,2.8,-1.5914248639078634,-0.7330485570986517,1.8756227155846372
46,21909,50154,1.8,-1.5835785984036872,1.0993535460250947,-1.0911958791395626
47,21927,50302,2.1,-1.5803687625156153,1.1096078475058795,-0.20115030072230236
48,21970,51986,1.9,-1.5727008212274431,1.2262851697602142,-0.794514019667143
49,21973,35598,2.1,-1.5721658485794312,0.09082913822575066,-0.20115030072230236
50,22022,22081,1.9,-1.563427961995235,-0.8457073017456518,-0.794514019667143
51,22050,39362,1.8,-1.558434883947123,0.3516209677776008,-1.0911958791395626
