Commodity Code,Commodity description
0,Food and live animals chiefly for food
00,Live animals chiefly for food
001,Live animals chiefly for food
0011,"Animals of the bovine species (including buffaloes), live"
00111,-- pure bred for breeding
00119,-- other than pure bred for breeding
0012,"Sheep and goats, live"
00121,"Sheep, live"
00122,"Goats, live"
0013,"Swine, live"
0014,"Poultry, live"
00141,Live poultry of 185 grams or less
00149,Live poultry over 185 grams
0015,"Equine species, live"
0019,"Live animals of a kind mainly used for human food, nes"
01,Meat and preparations
011,"Meat and edible meat offal, fresh, chilled or frozen"
0111,"Bovine meat, fresh, chilled or frozen"
01111,"Bovine meat fresh, chilled or frozen, with bone"
01112,"Bovine meat fresh, chilled or frozen, boneless"
0112,"Meat of sheep and goats, fresh, chilled or frozen"
0113,"Pig meat fresh, chilled or frozen"
0114,"Poultry, dead and edible offal, fresh, chilled or frozen"
0115,"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen"
0116,"Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen"
0118,"Other fresh, chilled or frozen meat or edible meat offal"
01181,"Poultry liver fresh, chilled, frozen, salted or in brine"
01189,"Meat and edible meat offal, fresh, chilled, or frozen, nes"
012,"Meat and edible meat offal, in brine, dried, salted or smoked"
0121,"Bacon, ham, other dried, salted or smoked meat of domestic swine"
0129,"Meat and edible meat offal, nes, in brine, dried, salted or smoked"
014,"Meat and edible meat offal, prepared, preserved, nes; fish extracts"
0141,Meat extracts and juices; fish extracts
0142,"Sausages and the like, of meat, meat offal or animal blood"
0149,Other prepared or preserved meat or meat offal
02,Dairy products and birds' eggs
022,Milk and cream
0223,"Milk and cream fresh, not concentrated or sweetened"
0224,"Milk and cream, preserved, concentrated or sweetened"
02241,Whey
02242,"Milk dry, containing not more than 1.5% of fat"
02243,"Milk and cream dry, containing more than 1.5% fat"
02249,"Milk and cream (not dry), concentrated, preserved or sweetened"
023,Butter
0230,Butter
024,Cheese and curd
0240,Cheese and curd
025,"Eggs, birds', and egg yolks, fresh, dried or preserved"
0251,"Eggs, birds', and egg yolks, fresh, dried or preserved, in shell"
0252,"Eggs, birds', egg yolks, fresh, dried or preserved, not in shell"
03,"Fish, crustacean and molluscs, and preparations thereof"
034,"Fish, fresh, chilled or frozen"
0341,"Fish, fresh or chilled, excluding fillet"
0342,"Fish, frozen, excluding fillets"
0343,"Fish fillets, fresh or chilled"
0344,"Fish fillets, frozen"
035,"Fish, dried, salted or in brine; smoked fish"
0350,"Fish, dried, salted or in brine; smoked fish"
03501,Fish meal fit for human consumption
03502,"Cod (not in fillets) dried, whether or not salted"
03503,"Fish (excluding cod) dried, salted or in brine"
03504,Fish smoked
036,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc"
0360,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc"
037,"Fish, crustaceans and molluscs, prepared or preserved, nes"
0371,"Fish, prepared or preserved, nes"
0372,"Crustaceans and molluscs, prepared or prepared, nes"
04,Cereals and cereal preparations
041,"Wheat and meslin, unmilled"
0411,"Durum wheat, unmilled"
0412,"Other wheat and meslin, unmilled"
042,Rice
0421,"Rice in the husk or husked, but not farther prepared"
04211,Rice in the husk
04212,"Rice husked, but not further prepared"
0422,"Rice, semi-milled or wholly milled"
04221,"Rice, semi-milled or milled (unbroken)"
04222,Rice broken
043,"Barley, unmilled"
0430,"Barley, unmilled"
044,"Maize, unmilled"
0440,"Maize, unmilled"
045,"Cereals, unmilled"
0451,"Rye, unmilled"
0452,"Oats, unmilled"
0459,"Buckwheat, millet, etc, and other cereals, unmilled, nes"
04591,"Millet, unmilled"
04592,"Sorghum, unmilled"
04599,"Other cereals, unmilled, nes"
046,Meal and flour of wheat and flour of meslin
0460,Meal and flour of wheat and flour of meslin
04601,Flour of wheat or of meslin
04602,"Groats, meal and pellets, of wheat"
047,Other cereal meals and flour
0470,Other cereal meals and flour
04701,Cereal flours (non-wheat or meslin)
04702,"Cereal groats, meal and pellets (non-wheat)"
048,"Cereal, flour or starch preparations of fruits or vegetables"
0481,"Cereal grains, worked or prepared, not elsewhere specified"
04811,"Other worked cereal grains, flaked, rolled, etc"
04812,"Prepared cereal, roasted, puffed, etc"
0482,"Malt, roasted or not, including flour"
0483,"Macaroni, spaghetti and similar products"
0484,Bakery products
04841,"Bread, biscuit, communion wafers (non-sugars, eggs fat, etc)"
04842,"Pastry, biscuits, cakes etc, with or without cocoa"
0488,Malt extract; cereals preparations with less 50% of cocoa
05,Vegetables and fruit
054,"Vegetables, fresh or simply preserved; roots and tubers, nes"
0541,"Potatoes, fresh or chilled, excluding sweet potatoes"
0542,"Beans, peas, other leguminous vegetables, dried, shelled"
0544,"Tomatoes, fresh or chilled"
0545,Other fresh or chilled vegetables
05451,"Alliaceous vegetables, fresh or chilled"
05459,"Vegetables, fresh or chilled, nes"
0546,"Vegetables, frozen or in temporary preservative"
05461,"Vegetables, preserved by freezing"
05462,"Vegetables temporarily preserved, unfrozen"
0548,"Vegetable products roots and tubers, nes, fresh, dried"
05481,"Roots and tubers, with high starch or insulin, fresh or dried"
05482,"Sugar beet, fresh or dried; sugar cane"
05484,Hop cones and lupulin
05488,"Vegetable products, primarily for human food, nes"
056,"Vegetables, roots and tubers, prepared or preserved, nes"
0561,"Vegetables (excluding leguminous), dried, evaporated, etc"
0564,"Flour, meals and flakes of potatoes, fruit and vegetables, nes"
05643,"Flour, meal and flakes of potato"
05645,"Tapioca, sago and substitutes obtained from starches"
05649,"Flours of leguminous, fruits, roots and tubers"
0565,"Vegetables, prepared or preserved, nes"
05651,"Vegetables and fruit, in vinegar or acetic acid"
