"station_1","station_2","distance"
11,163,416.586050414
11,212,734.173636158
49,87,179.503417688
49,197,689.289845354
82,163,441.218104132
82,193,727.299752063
84,148,954.96155197
87,279,698.051460178
113,246,1537.397099091
113,298,783.22557684
114,140,1785.108172776
137,206,1467.565419438
137,298,1600.973735444
140,237,1397.280904477
143,159,818.446991871
143,206,757.603573798
148,279,537.087455286
159,278,735.10216613
185,237,947.860260001
185,281,1237.066713059
192,197,769.113090513
192,212,999.366517556
193,278,1058.532192174
246,281,1671.746263286
13,156,664.767907683
13,250,621.025500061
16,91,1169.998666911
16,173,1115.698852583
24,156,2159.701938235
24,164,1524.01926989
28,162,642.137648153
28,192,555.580742525
37,158,1732.489215207
37,301,2359.277767992
48,126,629.783486831
48,250,1051.621997564
51,103,1266.788747691
51,215,2189.695703232
68,158,1996.400835053
68,256,3212.205692795
72,286,1477.062806337
76,181,1148.131889386
76,296,1716.525749543
88,256,2555.179795509
91,109,792.294163925
98,173,1639.128637512
98,211,1449.049787238
103,109,1136.963417085
105,177,1735.967933743
105,196,1678.534736941
112,181,2441.392211698
112,196,2193.541196917
126,259,770.099914275
127,186,679.400531684
127,226,938.953585999
149,162,1195.219466745
149,208,850.566012706
153,154,1607.463739432
153,247,1670.624943413
154,230,1668.633646534
154,275,1751.485427298
164,247,2738.907345348
177,239,2296.568494622
181,286,1602.307553968
186,208,641.348905759
192,259,747.735756067
211,275,1158.490607882
215,301,1312.856693135
221,239,897.513523479
221,294,2141.54268866
226,296,898.986683984
230,241,1279.81632541
241,301,1762.631239419
2,156,611.920791196
2,263,506.451624778
11,83,931.21157741
11,104,925.82641098
14,92,513.751426244
14,167,675.872445111
18,186,680.791475658
18,193,935.832602338
25,161,632.133113811
25,255,770.189422945
44,161,269.234581873
44,166,290.022343969
83,193,665.549425635
87,255,702.537237089
87,285,743.87289638
90,104,606.780247051
90,145,995.142367175
92,145,1735.856910242
99,122,975.424983912
99,236,633.552488048
122,186,989.633671035
156,167,446.267091753
166,263,682.549939244
229,236,1216.294205549
229,273,937.899387093
248,273,842.036573197
248,285,589.962840666
3,263,682.125031013
3,295,907.877776703
15,78,2026.031984299
15,269,1420.6568988
17,110,850.902763514
17,293,514.446976306
18,186,680.791475658
18,193,935.832602338
