"id","station_name"
1,"Acton Town"
2,"Aldgate"
3,"Aldgate East"
4,"All Saints"
5,"Alperton"
7,"Angel"
8,"Archway"
9,"Arnos Grove"
10,"Arsenal"
11,"Baker Street"
12,"Balham"
13,"Bank"
14,"Barbican"
15,"Barking"
16,"Barkingside"
17,"Barons Court"
18,"Bayswater"
19,"Beckton"
20,"Beckton Park"
21,"Becontree"
22,"Belsize Park"
24,"Bethnal Green"
25,"Blackfriars"
26,"Blackhorse Road"
27,"Blackwall"
28,"Bond Street"
29,"Borough"
30,"Boston Manor"
31,"Bounds Green"
32,"Bow Church"
33,"Bow Road"
34,"Brent Cross"
36,"Bromley-By-Bow"
38,"Burnt Oak"
39,"Caledonian Road"
40,"Camden Town"
42,"Canary Wharf"
44,"Cannon Street"
45,"Canons Park"
47,"Chalk Farm"
48,"Chancery Lane"
49,"Charing Cross"
51,"Chigwell"
52,"Chiswick Park"
54,"Clapham Common"
55,"Clapham North"
56,"Clapham South"
58,"Colindale"
59,"Colliers Wood"
60,"Covent Garden"
61,"Crossharbour & London Arena"
63,"Custom House"
65,"Cyprus"
66,"Dagenham East"
67,"Dagenham Heathway"
70,"Devons Road"
71,"Dollis Hill"
72,"Ealing Broadway"
73,"Ealing Common"
74,"Earl's Court"
75,"Eastcote"
76,"East Acton"
77,"East Finchley"
78,"East Ham"
79,"East India"
80,"East Putney"
81,"Edgware"
82,"Edgware Road (B)"
83,"Edgware Road (C)"
84,"Elephant & Castle"
85,"Elm Park"
87,"Embankment"
89,"Euston"
90,"Euston Square"
91,"Fairlop"
92,"Farringdon"
93,"Finchley Central"
94,"Finchley Road"
95,"Finsbury Park"
96,"Fulham Broadway"
97,"Gallions Reach"
98,"Gants Hill"
99,"Gloucester Road"
100,"Golders Green"
101,"Goldhawk Road"
102,"Goodge Street"
103,"Grange Hill"
104,"Great Portland Street"
105,"Greenford"
107,"Green Park"
108,"Gunnersbury"
109,"Hainault"
110,"Hammersmith"
111,"Hampstead"
112,"Hanger Lane"
113,"Harlesden"
114,"Harrow & Wealdston"
115,"Harrow-on-the-Hill"
116,"Hatton Cross"
117,"Heathrow Terminals 1, 2 & 3"
118,"Heathrow Terminal 4"
119,"Hendon Central"
120,"Heron Quays"
122,"High Street Kensington"
123,"Highbury & Islington"
124,"Highgate"
125,"Hillingdon"
126,"Holborn"
127,"Holland Park"
128,"Holloway Road"
129,"Hornchurch"
130,"Hounslow Central"
131,"Hounslow East"
132,"Hounslow West"
133,"Hyde Park Corner"
134,"Ickenham"
135,"Island Gardens"
136,"Kennington"
137,"Kensal Green"
138,"Kensington (Olympia)"
139,"Kentish Town"
140,"Kenton"
141,"Kew Gardens"
142,"Kilburn"
143,"Kilburn Park"
144,"Kingsbury"
145,"King's Cross St. Pancras"
146,"Knightsbridge"
147,"Ladbroke Grove"
148,"Lambeth North"
149,"Lancaster Gate"
150,"Latimer Road"
151,"Leicester Square"
153,"Leyton"
154,"Leytonstone"
155,"Limehouse"
156,"Liverpool Street"
157,"London Bridge"
159,"Maida Vale"
160,"Manor House"
161,"Mansion House"
162,"Marble Arch"
163,"Marylebone"
164,"Mile End"
165,"Mill Hill East"
166,"Monument"
167,"Moorgate"
168,"Moor Park"
169,"Morden"
170,"Mornington Crescent"
171,"Mudchute"
172,"Neasden"
173,"Newbury Park"
176,"Northfields"
177,"Northolt"
178,"Northwick Park"
179,"Northwood"
180,"Northwood Hills"
181,"North Acton"
182,"North Ealing"
184,"North Harrow"
185,"North Wembley"
186,"Notting Hill Gate"
188,"Old Street"
190,"Osterley"
191,"Oval"
192,"Oxford Circus"
193,"Paddington"
194,"Park Royal"
195,"Parsons Green"
196,"Perivale"
197,"Picadilly Circus"
198,"Pimlico"
199,"Pinner"
200,"Plaistow"
201,"Poplar"
202,"Preston Road"
203,"Prince Regent"
205,"Putney Bridge"
206,"Queen's Park"
207,"Queensbury"
208,"Queensway"
209,"Ravenscourt Park"
210,"Rayners Lane"
211,"Redbridge"
212,"Regent's Park"
213,"Richmond"
215,"Roding Valley"
216,"Rotherhithe"
217,"Royal Albert"
218,"Royal Oak"
219,"Royal Victoria"
220,"Ruislip"
222,"Ruislip Manor"
223,"Russell Square"
224,"Seven Sisters"
225,"Shadwell"
226,"Shepherd's Bush (C)"
227,"Shepherd's Bush (H)"
228,"Shoreditch"
229,"Sloane Square"
