airpol coef,airpol pval,depriv coef,depriv pval,lifest coef,lifest pval,unempl coef,unempl pval,hlthserv coef,hlthserv pval
-6.04909794,0.022876642,-8.249493938,1.21E-21,1.689332627,3.92E-05,-1.440017283,0.000325977,0.937226354,0.210123757
-7.219227201,0.004846621,-8.222106633,2.12E-24,1.720274139,2.61E-05,-1.707527053,3.32E-06,0.401993245,0.346351185
-8.402323494,0.001986133,-8.205122779,1.06E-22,1.599460215,0.000188606,-1.67987833,2.96E-06,0.424273456,0.346776461
-6.412267506,0.008574692,-8.294703159,1.15E-25,1.643908888,1.52E-05,-1.673582894,6.62E-06,0.561741699,0.297936189
-5.598767272,0.007296757,-8.520684145,6.21E-32,1.20584531,8.49E-05,-1.763612941,4.66E-07,0.585251644,0.28750924
-4.289896537,0.002496627,-7.800087301,7.55E-40,2.07923269,0.000137086,-2.901502753,2.68E-11,-0.267957187,0.384599492
-3.645974674,0.006496293,-7.91006356,1.25E-45,2.136143933,3.05E-05,-2.935641443,2.32E-13,0.292283215,0.379072903
-3.503421696,0.003614216,-7.816591836,3.77E-46,1.879072706,2.45E-07,-3.040931611,2.32E-14,1.304836195,0.06998604
-4.643157994,0.000193202,-7.209055654,2.39E-27,1.892765135,0.000262373,-2.658898346,6.34E-08,-0.378727071,0.345179313
-3.945373719,0.027578661,-6.674818509,7.85E-10,0.921396794,0.029291518,-2.440319509,0.002027408,-0.540125966,0.343323352
-3.796147732,0.014757777,-6.84631197,8.59E-12,1.197016622,0.008738193,-2.642903192,0.000458711,-0.012592054,0.398581661
-2.281433584,0.161618815,-6.160953498,6.78E-11,0.355800376,0.215243185,-1.869977464,0.010685862,-1.016116863,0.274691215
-3.476167177,0.032736897,-6.395269676,1.07E-15,0.808650575,0.028940688,-2.395676736,0.000225771,-0.041271686,0.398170587
-5.235714695,0.001413206,-7.282368221,4.69E-25,1.078548551,0.00658245,-2.346778865,1.60E-07,0.07821315,0.395887572
-7.227790573,1.10E-05,-7.098934141,1.12E-49,1.55191229,0.000107311,-2.746715728,1.11E-12,0.109005276,0.388569659
-7.06095413,1.11E-05,-6.871665408,2.60E-44,1.576458799,7.70E-06,-3.368880936,1.49E-11,-0.550399096,0.163886013
-5.706163911,0.001913315,-6.630082124,1.82E-35,1.141964319,0.000342323,-3.585653669,4.38E-08,-0.101838082,0.388853543
-7.940414875,3.14E-05,-7.143387597,3.43E-44,1.457191566,7.57E-05,-3.466624618,4.15E-11,-0.226317881,0.346355349
-3.884024542,0.060715493,-6.300754046,1.06E-14,0.172212308,0.306103626,-2.813453452,2.10E-06,-0.613747795,0.240434132
-3.979064581,0.002832231,-7.893017537,1.09E-34,1.095649552,0.003573305,-2.323500812,3.11E-10,-0.405996201,0.312451961
-4.740661843,0.000371604,-7.919858688,1.11E-44,2.030358268,1.55E-06,-2.48844114,1.20E-14,-0.317494807,0.341608382
-3.689844972,0.121928409,-5.609310714,1.81E-07,0.275387099,0.235026147,-1.760639907,0.068709139,-0.834209058,0.17273812
-3.753362857,0.150368138,-5.490494327,1.29E-06,0.179691222,0.31393831,-1.616312504,0.103702427,-0.98184853,0.141261025
-3.374299452,0.153900341,-5.579283927,3.81E-06,0.23734341,0.269419796,-1.249032043,0.195840931,-1.019033898,0.147180253
-4.016390238,0.127742204,-5.542237416,8.50E-08,0.133781584,0.345184398,-2.147196184,0.037278941,-0.984734831,0.134668079
-4.106767692,0.087191839,-9.486628025,6.07E-08,0.352688513,0.150014388,-4.01152823,0.004846367,-0.788094859,0.15437311
-6.108957853,0.022792843,-7.423207133,5.32E-07,0.411115683,0.083879555,-3.414991908,0.008906188,-0.46905224,0.279222033
-2.427580176,0.047844675,-6.193025288,3.16E-12,0.853937511,0.049030927,-4.752516683,0.00011544,-0.502051514,0.319008961
-2.433788399,0.09098978,-6.313522964,2.32E-10,0.763200951,0.070777986,-4.647785725,0.000528722,-0.497160428,0.32467804
-4.501715773,0.009050422,-5.924011142,1.71E-15,0.93689656,0.020178399,-3.411652109,0.000910138,-0.455868805,0.315662049
-7.0739759,0.003063072,-6.345719827,7.93E-24,-0.008431414,0.398462232,-3.219443476,3.10E-06,0.104713334,0.389879653
-2.978660963,2.44E-07,-6.60583984,2.31E-76,1.412188985,2.44E-08,-4.00851991,7.41E-29,-2.06021615,4.06E-05
-3.573270256,0.000150327,-6.832710916,1.98E-33,0.436233532,0.07909688,-3.11273961,5.43E-10,-0.955132033,0.052348639
-3.658911886,9.03E-10,-7.718838235,3.57E-74,0.939887463,7.76E-07,-3.918955526,4.82E-26,-1.205040927,0.011587138
-3.607171872,1.40E-07,-7.323258337,1.32E-52,0.655754058,0.001586964,-3.489624672,1.33E-16,-1.251180595,0.014794303
-3.901992544,1.39E-10,-6.15010726,2.28E-65,1.712618632,2.99E-09,-4.142772871,1.11E-26,-2.216708444,0.001047043
-3.347650289,0.004781695,-5.343155228,4.33E-28,1.119403264,0.007736225,-4.493480472,1.13E-08,-1.408654812,0.051628468
-3.9157809,3.13E-07,-5.682246692,9.68E-40,1.288942458,0.000407506,-4.650824394,7.49E-16,-2.132393076,0.000869432
-3.737269566,2.16E-11,-6.474376701,9.70E-82,2.005120104,7.26E-13,-3.983338141,3.83E-30,-2.303270981,0.000503667
-3.839231989,8.24E-11,-6.269583702,2.68E-71,1.820559929,1.01E-10,-4.093991106,3.75E-28,-2.259074234,0.00065875
-3.942356409,7.62E-09,-5.866274824,8.12E-49,1.452877588,8.18E-06,-4.448189417,3.69E-21,-2.209608457,0.000737275
-3.126143671,5.87E-05,-6.182837755,1.42E-47,1.038508258,0.001589803,-3.682020961,3.22E-12,-0.941115245,0.031345851
-2.816766759,7.60E-06,-6.738069368,9.35E-52,1.705859157,5.48E-06,-3.591170211,3.98E-20,-1.066207293,0.203534955
-2.960386837,0.015509127,-5.327921019,2.60E-24,1.711015041,0.000831596,-5.19341001,1.21E-08,-0.19198973,0.391096068
-2.584592006,0.029123749,-5.485871191,7.56E-22,1.5179085,0.001140615,-4.870458616,4.13E-07,-0.272084572,0.380525661
-2.200212177,0.07723997,-5.359358949,2.45E-18,1.583771243,0.00196156,-4.73752635,5.52E-06,0.887890087,0.298085093
-5.759247062,0.004641164,-9.33613444,1.79E-27,0.940654795,0.002770992,-1.869018995,3.79E-06,1.228605644,0.095024773
-4.051551412,0.003021583,-8.183554235,3.57E-46,1.966831977,9.75E-06,-2.777552686,8.29E-15,-0.534931959,0.287931954
-4.76434664,0.001171848,-7.893817655,8.38E-36,1.709196503,0.000319288,-2.851351824,8.77E-10,-0.868179278,0.258677791
-3.935567698,0.015792867,-8.426436106,5.01E-26,0.816713753,0.033421901,-2.597233771,1.66E-08,-0.285159924,0.347472615
-3.088685559,0.174440986,-10.35383781,5.82E-05,0.332023095,0.207429596,-3.507172866,0.088561689,-0.09657731,0.397434374
-3.020039128,0.041964543,-6.083336572,3.44E-20,0.700991302,0.016559445,-3.345968872,0.000244715,-0.728774671,0.192688825
-2.674266485,4.35E-05,-6.3566162,1.10E-53,0.69204728,0.00450553,-3.401597364,4.20E-10,-0.748065093,0.065725261
-2.779867835,2.67E-06,-6.50730336,1.05E-68,1.062369176,5.45E-06,-3.860884177,7.43E-22,-1.648756712,0.0001447
-5.499177724,0.120523008,-11.20631558,4.48E-06,1.02974324,0.122409954,-2.310933653,0.010874057,1.081998722,0.067021992
-3.616156483,1.28E-05,-6.041029639,2.03E-51,1.079488492,0.00187955,-3.995459603,4.64E-16,-1.602852592,0.002520642
-3.515391355,1.15E-09,-6.419205869,9.59E-77,1.803769005,2.44E-10,-4.088743093,2.90E-30,-2.329253016,0.000173899
-3.687023677,4.71E-11,-6.474384517,2.75E-81,1.989565437,1.40E-12,-4.010064371,2.02E-30,-2.322388248,0.000406423
-3.719934638,1.94E-08,-6.12500938,4.98E-61,1.490311817,1.17E-06,-4.256526292,2.56E-25,-2.231434454,0.000165263
-4.112925594,3.51E-08,-6.729408599,2.82E-44,0.381987142,0.072315464,-3.973204772,1.06E-14,-0.926574522,0.026244878
-4.486449752,0.000518825,-6.406316789,1.04E-25,-0.02512618,0.396460845,-4.091624476,1.20E-08,-0.524413257,0.200862994
-6.959209368,0.001041899,-6.403992855,1.42E-21,-0.269060355,0.250555012,-4.175057292,1.38E-07,-0.342358898,0.322222021
-3.882311055,1.02E-05,-6.389548122,1.32E-35,0.098706052,0.363438975,-3.198641753,2.46E-07,-0.515558358,0.186678133
-3.94917496,2.06E-08,-6.757319243,7.90E-49,0.468709707,0.026634986,-3.960128009,3.40E-16,-0.988364125,0.018479749
-2.866746851,0.200836954,-8.493730016,1.10E-11,1.254153545,0.014113287,-2.160096301,0.009416066,0.867583659,0.212833717
-3.466705891,0.015727096,-7.75453575,6.25E-21,1.385142815,0.001921511,-2.67744407,4.63E-07,-0.054133682,0.397242674
-6.239512008,0.190057325,-8.909673351,1.54E-05,0.915732779,0.159288477,-2.245073085,0.026283203,0.529514521,0.315018627
-2.86180085,0.156952662,-8.44633185,5.87E-14,1.246814877,0.041090847,-2.600034978,0.000132365,1.000955442,0.225923346
-5.287897201,0.013803333,-8.523549578,2.35E-17,0.864403821,0.055425254,-2.888652549,6.69E-05,0.049464563,0.39730309
-4.932270112,0.000287994,-8.107518306,7.86E-26,1.1983641,0.000233443,-2.897481756,7.90E-08,-0.110543751,0.389139407
-7.204090202,8.19E-05,-7.231172282,1.33E-47,1.532235311,0.000264593,-2.894290436,2.41E-12,0.354227169,0.310249271
-7.116703894,0.001018356,-7.265896031,2.24E-42,1.197286073,0.001437006,-3.121224506,5.04E-10,0.315508585,0.327313127
